"Name","School","Rating"
"Toby Fournier","Duke Blue Devils",79.3
"Ndack Mbengue","UTEP Miners",79.3
"Nya Smith","UNC Greensboro Spartans",79.3
"Deniya Thornton","Loyola New Orleans Wolfpack",79.3
"Deryanis Colon Velez","Washington Adventist Shock",79.3
"MaKayla Elmore","Pittsburgh Panthers",79.2
"Malia Magestro","Youngstown State Penguins",79.2
"Amanda Barcello","Utah Valley Wolverines",79.2
"Deonna Brister","Nicholls Colonels",79.2
"Callin Hake","Nebraska Cornhuskers",79.2
"Meloney Thames","UL Monroe Warhawks",79.2
"Rylie Theuerkauf","Wake Forest Demon Deacons",79.2
"Mariona Cos-Morales","Rider Broncs",79.2
"Kaemyn Bekemeier","Missouri State Lady Bears",79.2
"Jamisyn Heaton","Utah State Aggies",79.2
"Tyler Pyburn","Texas College Steers",79.2
"Julia Susla","Montevallo Falcons",79.2
"Adryana Quezada","San Diego State Aztecs",79.1
"Brynn Farrell","Providence Friars",79.1
"De'Mauri Flournoy","Georgia Lady Bulldogs",79.1
"Rose Bubakar","Weber State Wildcats",79.1
"Alaya Fitzgerald","Portland State Vikings",79.1
"Abby Jegede","Northeastern Huskies",79.1
"Nalani Kaysia","George Mason Patriots",79.1
"Maddie Webber","Villanova Wildcats",79.1
"Gracy Wernli","Lindenwood Lions",79.1
"Tatum West","Northern Colorado Bears",79.1
"Kya Smith","Army Black Knights",79.1
"Cassidy Morris","Brescia Bearcats",79.1
"Neeley Tilly-Bedick","Nelson Lions",79.1
"Anna Gliatta","Brenau University Golden Tigers",79.1
"Alexi Hempe","South Dakota Coyotes",79
"Kendall Holmes","Belmont Bruins",79
"Nan Garcia","Toledo Rockets",79
"Ella Gallatin","Eastern Washington Eagles",79
"Saniyah Neverson","Northern Arizona Lumberjacks",79
"Gabi Fields","Northern Colorado Bears",79
"Delaney Thomas","Duke Blue Devils",79
"KK Arnold","UConn Huskies",79
"Luisa Vydrova","UTEP Miners",79
"Breona Hurd","Virginia Cavaliers",79
"Nakia Cheathman","Alcorn State Lady Braves",79
"Cherika Rafan","Lincoln (CA) Oaklanders",79
"Tieraney Bolton","Thomas (GA) Night Hawks",79
"Audrey Jakway","Haverford Fords",79
"Brenda Fontana","Old Dominion Monarchs",78.9
"Allie Kubek","Maryland Terrapins",78.9
"Zamara Haynes","Maryland Eastern Shore Hawks",78.9
"Clara Gomez","New Hampshire Wildcats",78.9
"Emma Riley","Union Garnet Chargers",78.9
"Meredith Maier","Marshall Thundering Herd",78.9
"Grace Sullivan","Northwestern Wildcats",78.9
"Morgan Demos","Navy Midshipmen",78.9
"Madison Mathiowetz","South Dakota State Jackrabbits",78.9
"Laia Conesa","Kansas Jayhawks",78.9
"Kristol Ayson","Tulsa Golden Hurricane",78.9
"Paris Locke","North Carolina A&T Aggies",78.9
"Gracyn Lovette","Lehigh Mountain Hawks",78.9
"Ayisse Magassa","La Salle Explorers",78.9
"Taylee Chirrick","Montana State Bobcats",78.9
"Elise Jaeger","Northern Iowa Panthers",78.9
"Liv West","Pittsburgh-Johnstown Mountain Cats",78.9
"Calysia Phillips","Mississippi University For Women Owls",78.9
"Laila Blair","Houston Cougars",78.8
"Zaida Gonzalez","Stony Brook Seawolves",78.8
"Tessa Miller","Clemson Tigers",78.8
"T'yana Todd","Boston College Eagles",78.8
"Grace Schmidt","California Baptist Lancers",78.8
"Nakiyah Mays-Prince","Georgia Southern Eagles",78.8
"Brooklyn Thrash","Eastern Michigan Eagles",78.8
"Mia Mancini","Bryant Bulldogs",78.8
"Payton Hull","Abilene Christian Wildcats",78.8
"Layla Gold","Valparaiso Beacons",78.8
"K'Nari Holliday","West Georgia Wolves",78.8
"Jaeda Murphy","Mississippi Valley State Devilettes",78.8
"Tanita Swift","Nicholls Colonels",78.8
"Jaela Johnson","Canisius Golden Griffins",78.7
"AJ Marotte","Oregon State Beavers",78.7
"Kalia Walker","Alabama A&M Bulldogs",78.7
"Shaulana Wagner","Troy Trojans",78.7
"Maleia Bracone","North Carolina A&T Aggies",78.7
"Mallory Heyer","Minnesota Golden Gophers",78.7
"Skyler Gill","Florida Gulf Coast Eagles",78.7
"Jenna Johnson","Utah Utes",78.7
"Dani Grim","Oakland Golden Grizzlies",78.7
"Mariah Elohim","Fresno State Bulldogs",78.7
"Tierra Trotter","UT Rio Grande Valley Vaqueros",78.7
"Grace Slaughter","Missouri Tigers",78.7
"Ta'Viyanna Habib","George Mason Patriots",78.7
"Reniya Kelly","North Carolina Tar Heels",78.7
"Yanniah Boyd","Binghamton Bearcats",78.7
"Faith Acker","Tarleton State Texans",78.7
"Alexa Hocevar","IU Indianapolis Jaguars",78.7
"Ellie McDermid","Bradley Braves",78.7
"Madison Hart","Bethel (TN) Wildcats",78.7
"Peyton Starks","Macalester Scots",78.7
"Kayla Blackshear","Georgia Tech Yellow Jackets",78.6
"Sharna Ayres","Northwestern State Lady Demons",78.6
"Courtlyn Loudermill","Texas Southern Tigers",78.6
"Debreasha Powe","Mississippi State Bulldogs",78.6
"Jazzlyn Linbo","Purdue Fort Wayne Mastodons",78.6
"Aniyah Johnson","North Texas Mean Green",78.6
"Victoria Rivera","Georgetown Hoyas",78.6
"Naelle Bernard","Loyola Chicago Ramblers",78.6
"Kylie Flippin","McMurry War Hawks",78.6
"Emma Kirby","Sacred Heart Pioneers",78.6
"Macey Fegan","Cleveland State Vikings",78.6
"Brooke Beresford","College of Idaho Yotes",78.6
"Kaela Martinez","Mount Marty College Lancers",78.6
"Mykelle Richards","Long Beach State Beach",78.6
"Jaci Jones","Northern Kentucky Norse",78.5
"Alex Rouse","Eastern Illinois Panthers",78.5
"Jaila Lee","UNC Greensboro Spartans",78.5
"Douthshine Prien","Grambling Lady Tigers",78.5
"Fiona Snashall","Regis (CO) Rangers",78.5
"Regan Williams","Kansas Jayhawks",78.5
"Somah Kamara","Tennessee State Lady Tigers",78.5
"Tori Smiley","Shorter Hawks",78.5
"Ariella Goren","Arlington Baptist Patriots",78.5
"Alexsandra Alvarado","San Francisco State Gators",78.5
"MeiLani McBee","Hawai'i Rainbow Wahine",78.4
"Savannah White","Indiana State Sycamores",78.4
"Indya Nivar","North Carolina Tar Heels",78.4
"Aniah Hall","Northern Colorado Bears",78.4
"Savannah Catalon","Seton Hall Pirates",78.4
"Makayla Jackson","Detroit Mercy Titans",78.4
"Emani Bennett","Kansas City Roos",78.4
"Jayda Angel","Elon Phoenix",78.4
"Rebecca Walter","Blue Mountain College Toppers",78.4
"Erin Fry","Regis Rangers",78.4
"Lauren Jones","Westminster (MO) Blue Jays",78.4
"Nyam Thornton","Prairie View A&M Lady Panthers",78.3
"Ta'Ziah Jenks","Florida Atlantic Owls",78.3
"Zoe Cooper","Jackson State Lady Tigers",78.3
"Paige Bradley","Tulsa Golden Hurricane",78.3
"Alexis Pettis","Eastern Washington Eagles",78.3
"Kirah Dandridge","Radford Highlanders",78.3
"Christeina Bryan","Seattle U Redhawks",78.3
"Giana Hoddinott","Mount St. Mary's Mountaineers",78.3
"Audrey Ericksen","Boston University Terriers",78.3
"Sarengbe Sanogo","Texas Tech Lady Raiders",78.3
"Zoe Shaw","St. Bonaventure Bonnies",78.3
"Shelley Duchemin","UC Riverside Highlanders",78.3
"Danielle Williamsen","Marist Red Foxes",78.3
"Abby St. Martin","Worcester State Lancers",78.3
"Dana Phelan","Staten Island Dolphins",78.3
"Kera Martinez","Dallas Christian Crusaders",78.3
"Cara McCormack","Drexel Dragons",78.2
"Erin Fry","Regis (CO) Rangers",78.2
"Sophie Phillips","Rhode Island Rams",78.2
"Katie Hill","Richmond Spiders",78.2
"Aleighyah Fontenot","Southern Jaguars",78.2
"Ja'Mia Harris","Texas State Bobcats",78.2
"Kilah Freelon","Texas Tech Lady Raiders",78.2
"Ariel Jefferson","Arkansas Baptist Buffaloes",78.2
"Emily Foy","Saint Mary's Gaels",78.2
"Nahawa Diarra","Mercer Bears",78.2
"Alexis Calderon","New Orleans Privateers",78.2
"Sidney Thue","Mount Marty College Lancers",78.2
"Jazzy Klinge","North Alabama Lions",78.2
"Johnea Donahue","Bowling Green Falcons",78.2
"Dagny Slomack","Central Connecticut Blue Devils",78.2
"Celebria Peacock","Wiley Wildcats",78.2
"Sahara Jones","Texas A&M Aggies",78.1
"Callie Genke","Green Bay Phoenix",78.1
"Keanna Rembert","Charlotte 49ers",78.1
"Alecia Doyle","Northern Illinois Huskies",78.1
"Maci Rhoades","Valparaiso Beacons",78.1
"Salese Blow","Wichita State Shockers",78.1
"Reese Ross","Utah Utes",78.1
"Morgan Sieper","Southern Miss Lady Eagles",78.1
"Zoey Ward","Iona Gaels",78.1
"Tkiyah Nelson","Southern Illinois Salukis",78.1
"Emely Rodriguez","UCF Knights",78.1
"Zuriyah Davis","West Georgia Wolves",78.1
"Chrishawn Coleman","Morehead State Eagles",78.1
"Samantha Ballantyne","Bethesda University Flames",78.1
"Sammie Puisis","South Florida Bulls",78
"Lauren Ware","Texas A&M Aggies",78
"Jaiyah Harris-Smith","Alabama A&M Bulldogs",78
"Harley Paynter","Morehead State Eagles",78
"Lani White","Virginia Tech Hokies",78
"Malia Mastora","Pepperdine Waves",78
"Tuana Coskun","Bucknell Bison",78
"Destiny Goodwin","Trinity Christian (IL) Trolls",78
"Kamrin Babbs","Bloomfield Deacons",78
"Gabby Reynolds","George Washington Revolutionaries",78
"Julianna Almeida","Navy Midshipmen",78
"CJ Wilson","Prairie View A&M Lady Panthers",78
"Lydia Hay","Bethel (MN) Royals",78
"Emily Bowman","Samford Bulldogs",77.9
"Reigan Richardson","Duke Blue Devils",77.9
"Danja Stafford Collins","Utah Valley Wolverines",77.9
"Gianna Aiello","Brown Bears",77.9
"Emina Selimovic","Fairfield Stags",77.9
"Faith Lee","Little Rock Trojans",77.9
"Hailey Adams","Rice Owls",77.9
"Dionna Gray","Kent State Golden Flashes",77.9
"Elisa Mevius","Oregon Ducks",77.9
"Jenna Lawrence","Arkansas Razorbacks",77.9
"Miannah Little","Tarleton State Texans",77.9
"De'Asia Johnson","UNT Dallas Trailblazers",77.9
"Rylei Waugh","San José State Spartans",77.9
"Evelyn Lorenzo","Texas A&M-San Antonio Jaguars",77.9
"Tamaiya Mims","Sul Ross State Lobos",77.9
"Ashley Dickey","Tennessee Southern Firehawks",77.9
"Kindyll Wetta","Colorado Buffaloes",77.8
"Dominique Camp","Syracuse Orange",77.8
"Zanoria Cruz","Western Carolina Catamounts",77.8
"Jayla Kimbrough","New Orleans Privateers",77.8
"Andrea Daley","Boston College Eagles",77.8
"Kylie Lavelle","St. John's Red Storm",77.8
"Hana Muhl","Manhattan Jaspers",77.8
"Maggie Hutka","Colorado Christian Cougars",77.8
"Amy O'Hara","Bradley Braves",77.8
"Idara Udo","UTSA Roadrunners",77.8
"Nina Horvath","East Texas A&M Lions",77.8
"Kace Urlacher","Chicago State Cougars",77.8
"Jailah Pelly","Arkansas-Pine Bluff Golden Lions",77.8
"Teresa Kiewiet","Lafayette Leopards",77.8
"Jordan Heifner","Johnson University (TN) Royals",77.8
"Khadee Hession","Georgetown Hoyas",77.8
"D'Mya Griffin","Florida A&M Rattlers",77.8
"Kylee Piche","Bridgewater State (MA) Bears",77.8
"Erica Lafayette","Louisiana Ragin' Cajuns",77.7
"Parker Montgomery","UC San Diego Tritons",77.7
"Myra Bell","Incarnate Word Cardinals",77.7
"Niya Fields","Norfolk State Spartans",77.7
"Hannah Rapp","Santa Clara Broncos",77.7
"NJ Weems","Lamar Cardinals",77.7
"Kaleigh Addie","Georgia State Panthers",77.7
"Ivane Tensaie","UTEP Miners",77.7
"Dymonique Maxie","Nevada Wolf Pack",77.7
"Sydney Hendrix","Florida A&M Rattlers",77.7
"Vera Ojenuwa","Arkansas Razorbacks",77.7
"JaQuoia Jones-Brown","Long Beach State Beach",77.7
"Tamar Singer","Miami (OH) RedHawks",77.7
"Rylee Ghent","Johnson C Smith Golden Bulls",77.7
"Kendal Brigham","Concordia Nebraska Bulldogs",77.7
"Taja Stephens","Salem University Tigers",77.7
"KK Rodriguez","SIU Edwardsville Cougars",77.6
"Karoline Striplin","Indiana Hoosiers",77.6
"Halle Douglass","Wisconsin Badgers",77.6
"Tilly Boler","Memphis Tigers",77.6
"Ash'a Thompson","Prairie View A&M Lady Panthers",77.6
"Emani Burks","Nicholls Colonels",77.6
"Susie Rafiu","Columbia Lions",77.6
"Briley Pena","Murray State Racers",77.6
"Ashanti Lynch","Maryland Eastern Shore Hawks",77.6
"Cassandre Prosper","Notre Dame Fighting Irish",77.6
"Aleah Snead","Saint Joseph's Hawks",77.6
"D'Arrah Allen","Arkansas-Pine Bluff Golden Lions",77.6
"Jasmynne Gibson","North Florida Ospreys",77.6
"Julia Rodriguez","West Alabama Tigers",77.6
"Meghan O'Brien","Lehigh Mountain Hawks",77.5
"Nicole Bowlin","Colorado Christian Cougars",77.5
"Laila Reynolds","Florida Gators",77.5
"Tiara Bolden","Oregon State Beavers",77.5
"Sydni Summers","San José State Spartans",77.5
"Lexi McCully","Southeast Missouri State Redhawks",77.5
"Agnes Emma-Nnopu","TCU Horned Frogs",77.4
"Tyler McCliment-Call","Montana Lady Griz",77.4
"Mary McMillan","Stetson Hatters",77.4
"Anzhane Hutton","East Carolina Pirates",77.4
"Fatoumata Jaiteh","Sacramento State Hornets",77.4
"Kelsey Thompson","Old Dominion Monarchs",77.4
"Makiya Miller","Wright State Raiders",77.4
"Natalie Pasco","Boise State Broncos",77.4
"Ande'a Cherisier","Delaware Blue Hens",77.4
"Kate Bradley","Oklahoma Christian University Eagles",77.4
"Shanti Simmons","Georgia Southern Eagles",77.4
"Nevaeh Brown","UCF Knights",77.3
"Mazatlan Harris","UC Davis Aggies",77.3
"Abby Wolterman","Northern Kentucky Norse",77.3
"Rylan Moffitt","App State Mountaineers",77.3
"Elisabeth Aegisdottir","Liberty Flames",77.3
"Jianna Morris","Louisiana Tech Lady Techsters",77.3
"Betsey Burnett","Johnson C Smith Golden Bulls",77.3
"Jordan Marshall","Louisiana Tech Lady Techsters",77.3
"Taylor Napper","Radford Highlanders",77.3
"Camryn Collins","Rider Broncs",77.3
"Monae' Duffy","Texas A&M-Corpus Christi Islanders",77.3
"Maiya Petit","Fort Lauderdale Eagles",77.3
"Anaya Coleman","Southeastern Fires",77.3
"Grace Ceseretti","Union Garnet Chargers",77.3
"Wynter Rogers","Arkansas State Red Wolves",77.2
"Sadie Stetson","Samford Bulldogs",77.2
"Jeana Weatherspoon","Kentucky State Thorobreds",77.2
"Peyton Kennedy","Saint Louis Billikens",77.2
"Karsen Murphy","Chattanooga Mocs",77.2
"Victoria Davis","Nevada Wolf Pack",77.2
"Emily Carver","App State Mountaineers",77.2
"Mariah Mitchem","Coker Cobras",77.2
"Emma Von Essen","Hofstra Pride",77.2
"Christina Midgette","Colgate Raiders",77.2
"Jazmine Spencer","North Florida Ospreys",77.2
"Asia Boone","Liberty Flames",77.2
"Zoe Borter","UC Santa Barbara Gauchos",77.2
"Lily Zeinstra","Butler Bulldogs",77.2
"Mia Tarver","Utah State Aggies",77.2
"Marurdaisha Powell","North American Stallions",77.2
"Caileigh Walsh","Northwestern Wildcats",77.1
"Chelsea Wooten","Western Carolina Catamounts",77.1
"Aisha Dabo","Hampton Lady Pirates",77.1
"Tymberlin Criswell","Texas A&M-Corpus Christi Islanders",77.1
"Annukka Willstedt","Texas A&M-Corpus Christi Islanders",77.1
"Morgan McMahon","Colgate Raiders",77.1
"India Johnston","Towson Tigers",77.1
"Ariadna Termis","Georgia Tech Yellow Jackets",77.1
"Jada Crawshaw","Long Beach State Beach",77.1
"Asia Barclay","Jacksonville State Gamecocks",77.1
"Mariam Sanogo","Canisius Golden Griffins",77.1
"Autumn Taylor","Clarion Golden Eagles",77.1
"Desiree Rogers","Our Lady Of The Lake Saints",77.1
"Alexandra Long","Bates College Bobcats",77.1
"Kaylah Ivey","Boston College Eagles",77
"McKenna Eddings","Georgia Southern Eagles",77
"Terah Harness","Buffalo Bulls",77
"Macy Smith","Oakland Golden Grizzlies",77
"Jaida Belton","Texas Southern Tigers",77
"Lauren Bailey","Gardner-Webb Runnin' Bulldogs",77
"Jaylia Reed","Mississippi Valley State Devilettes",77
"Kemery Congdon","BYU Cougars",77
"Zeryhia Aokuso","Saint Mary's Gaels",77
"Leianya Massenat","Jackson State Lady Tigers",77
"Makaia Smith","Bethesda University Flames",77
"Leilani Kapinus","Vanderbilt Commodores",76.9
"Katie Davidson","IU Indianapolis Jaguars",76.9
"Mary Kay Naro","Boise State Broncos",76.9
"Keira Hanson","Vermont Catamounts",76.9
"R'Mani Taylor","Lamar Cardinals",76.9
"Lilly Parke","Fairleigh Dickinson Knights",76.9
"Sophia Loden","Southern Indiana Screaming Eagles",76.9
"Victoria Moore","North American Stallions",76.9
"Talia Dial","Niagara Purple Eagles",76.9
"Saniyah Glenn-Bello","Harvard Crimson",76.8
"Destiney McPhaul","Mississippi State Bulldogs",76.8
"Lexy Keys","Oklahoma Sooners",76.8
"Abby Schulte","North Dakota State Bison",76.8
"Kaya Ingram","Santa Clara Broncos",76.8
"Anahi-Lee Cauley","William & Mary Tribe",76.8
"Amyah Reaves","Hampton Lady Pirates",76.8
"Olivia Porter","Marquette Golden Eagles",76.8
"Chae Harris","Fordham Rams",76.8
"Le'Asia Foreman","Hampton Lady Pirates",76.8
"Mary-Elizabeth Donnelly","Holy Cross Crusaders",76.8
"Rayne Durant","UMass Lowell River Hawks",76.8
"Kayla Rice","Illinois-Springfield Prairie Stars",76.8
"Tilda Trygger","NC State Wolfpack",76.8
"Tamia Perryman","Bradley Braves",76.8
"Ariana Bennett","Mercer Bears",76.8
"Kennedy Moore","College Of Biblical Studies Ambassadors",76.8
"Ashley Tucker","Buffalo State Bengals",76.8
"DaKiyah Sanders","Southern Jaguars",76.7
"Belle Kranbuhl","Monmouth Hawks",76.7
"Braylyn Milton","East Tennessee State Bucs",76.7
"Haley Thierry","Youngstown State Penguins",76.7
"Audrey Roden","Nevada Wolf Pack",76.7
"Ella Fajardo","Iona Gaels",76.7
"Kennedy Basham","Arizona State Sun Devils",76.7
"Brielle Williams","Bryant Bulldogs",76.7
"Lexi Alexander","SE Louisiana Lady Lions",76.7
"Casey Harter","Northwestern Wildcats",76.7
"Rachel Kaus","Cornell Big Red",76.7
"Layla Tillery","Lees-McRae Bobcats",76.7
"Keana Foz","Wagner Seahawks",76.7
"Jaci Powers","Northern New Mexico Eagles",76.7
"Addison Hudspeth","Central Baptist College Mustangs",76.7
"Cassandra Smith","Salem University Tigers",76.7
"D'Ayzha Akinson","Shaw Bears",76.7
"Gigi Cooke","Houston Cougars",76.6
"Amari Wright","Seton Hall Pirates",76.6
"Brynn Shoup-Hill","Illinois Fighting Illini",76.6
"Anna Griffin","Arkansas State Red Wolves",76.6
"Lucia Fleta Robles","Florida International Panthers",76.6
"Zakia Rasheed","Akron Zips",76.6
"Jordyn Lamker","St. Thomas-Minnesota Tommies",76.6
"Jaileyah Cotton","Jackson State Lady Tigers",76.6
"Kayla Rolph","William & Mary Tribe",76.6
"Simone Foreman","Holy Cross Crusaders",76.6
"Ines Debroise","Rhode Island Rams",76.6
"Miyah Verse","Georgia Lady Bulldogs",76.6
"Sana'a Garrett","Jacksonville Dolphins",76.6
"Ivey Schmidt","Western Colorado Mountaineers",76.6
"Rhe Nae Leach","Whittier Poets",76.6
"Isla Airey","Louisiana Tech Lady Techsters",76.6
"Alynna Palacios","Park University Gilbert Buccaneers",76.6
"Aaliyah Pitts","Florida International Panthers",76.5
"Carmyn Harrison","Belmont Bruins",76.5
"Skye Owen","St. John's Red Storm",76.5
"Tae'lor Purvis","Xavier Musketeers",76.5
"Elina Arike","Middle Tennessee Blue Raiders",76.5
"Olivia Rockwood","Maine Black Bears",76.5
"Sophia Sabino","Bucknell Bison",76.5
"Naja Fenelon","Kentucky State Thorobreds",76.5
"Lauren Scott","High Point Panthers",76.5
"Raissa Nsabua","Robert Morris Colonials",76.5
"Lily Fandre","Lehigh Mountain Hawks",76.5
"Franka Wittenberg","Canisius Golden Griffins",76.5
"Maddie Naro","Santa Clara Broncos",76.5
"Kaia Goode","Binghamton Bearcats",76.5
"Elina Aarnisalo","UCLA Bruins",76.5
"Joana Magalhaes","New Mexico Lobos",76.5
"Maia Rosarion","Morehead State Eagles",76.5
"Clare Coyle","Furman Paladins",76.5
"Brilynn Findley","Delta State Statesmen",76.5
"Alexandria James-Fearon","Chowan Hawks",76.5
"Maia Rhay","Westminster (UT) Griffins",76.5
"Lydia Freeman","Grambling Lady Tigers",76.4
"Audrey Fuller","Campbell Fighting Camels",76.4
"Olivia Williams","UC Irvine Anteaters",76.4
"Olivia McGhee","Virginia Cavaliers",76.4
"Maddie Rice","UMass Lowell River Hawks",76.4
"Abby Cater","Austin Peay Governors",76.4
"Mckenna Harris","Southern-New Orleans Knights",76.4
"Ritorya Tamilo","Hawai'i Rainbow Wahine",76.4
"Lexi Carlsen","Northern Illinois Huskies",76.4
"Megan Campbell","Tiffin Dragons",76.4
"Taylor Caldwell","Cal State Bakersfield Roadrunners",76.3
"Rosie Schweizer","Idaho Vandals",76.3
"Treasure Thompson","Texas Southern Tigers",76.3
"Taylor Jameson","Wichita State Shockers",76.3
"Sitori Tanin","Loyola Chicago Ramblers",76.3
"Nicole Stephens","Dayton Flyers",76.3
"Laila Fair","Morgan State Lady Bears",76.3
"Maddy Schreiber","Green Bay Phoenix",76.3
"Ronaltha Marc","Winthrop Eagles",76.3
"Carlea Owens","Our Lady Of The Lake Saints",76.3
"Karissa Smedley","Georgian Court University Lions",76.3
"Naomi Panganiban","San Diego State Aztecs",76.3
"Brianna Mead","Long Island University Sharks",76.3
"Dara Tokeshi","Occidental Tigers",76.3
"Mary Leday","Wiley Wildcats",76.3
"Gwen Higdon","IU Columbus Crimson Pride",76.3
"Kennedy Collins","Thomas (GA) Night Hawks",76.3
"Maranda Nyborg","Bryant Bulldogs",76.2
"Jailah Donald","St. John's Red Storm",76.2
"Sania Copeland","Kansas Jayhawks",76.2
"Maren Louridas","Navy Midshipmen",76.2
"Cassidy Geddes","William & Mary Tribe",76.2
"Jaecy Eggers","Eastern Washington Eagles",76.2
"Stephanie Da Silva","Western New Mexico Mustangs",76.2
"Cerina Rolle","Florida Gulf Coast Eagles",76.1
"Kiarra Henderson","Alcorn State Lady Braves",76.1
"Mikayla Johnson","Pittsburgh Panthers",76.1
"Cassie Gallagher","South Carolina Upstate Spartans",76.1
"Bella White","Alabama-Huntsville Chargers",76.1
"Lanae Billy","Weber State Wildcats",76.1
"Ellie Taylor","Utah Tech Trailblazers",76.1
"Kloe Froebe","Colorado State Rams",76.1
"Emily Sizemore","Asbury Eagles",76.1
"Sydnee Smith","Macalester Scots",76.1
"Rylee Rosenquist","Dakota Wesleyan Tigers",76.1
"Chandler Prater","Mississippi State Bulldogs",76
"Jaliena Sanchez","UMBC Retrievers",76
"Nevaeh Parkinson","Arizona State Sun Devils",76
"Brikayla Gray","UL Monroe Warhawks",76
"Lexi Bull","Southern Utah Thunderbirds",76
"Nani Falatea","Oregon Ducks",76
"Nya Threatt","UT Arlington Mavericks",76
"Jeni Levine","South Carolina Upstate Spartans",76
"Janna Holley","Cal Lutheran Kingsmen",76
"Summah Hanson","UC Irvine Anteaters",76
"Katie Hamill","Missouri-St. Louis Rivermen",76
"Amaya Collins","IU Columbus Crimson Pride",76
"Addison O'Grady","Iowa Hawkeyes",75.9
"Grace Hutson","VCU Rams",75.9
"Jania Hall","UNC Wilmington Seahawks",75.9
"Ivy Bales","American University Eagles",75.9
"Brooke Anya","Chattanooga Mocs",75.9
"Makena Mastora","Pepperdine Waves",75.9
"Sydney Bourland","Cal Poly Mustangs",75.9
"Elise Turrubiates","Tarleton State Texans",75.9
"Brooke Daniels","Michigan Wolverines",75.9
"Marissa Gingrich","NJIT Highlanders",75.9
"Caitlin Frost","St. Bonaventure Bonnies",75.9
"Shania Nichols-Vannett","IU Indianapolis Jaguars",75.9
"Carmella Hayden","Jarvis Christian Bulldogs",75.9
"Jessica Bollwahn","Regis Rangers",75.9
"Jayla Reliford","Westcliff Warriors",75.9
"Eleyana Tafisi","App State Mountaineers",75.8
"Raphaela Toussaint","Eastern Kentucky Colonels",75.8
"Makayla Andrews","George Washington Revolutionaries",75.8
"Sydney Gandy","Southern Utah Thunderbirds",75.8
"Paige Rocca","Missouri State Lady Bears",75.8
"Lovely Sonnier","Long Beach State Beach",75.8
"Olivia Wagner","Winthrop Eagles",75.8
"Olivia Smith","Eastern Michigan Eagles",75.8
"Macy Mayer","Montana Tech Orediggers",75.8
"Jessica Petrie","Nebraska Cornhuskers",75.8
"Maddie Heiss","Wofford Terriers",75.8
"Sarah Ericson","Vermont Catamounts",75.8
"Aniya Hooker","Siena Saints",75.8
"Hayley Berfield","Westcliff Warriors",75.8
"Londynn Jones","UCLA Bruins",75.7
"Grace Hall","Penn State Lady Lions",75.7
"Bronagh Power-Cassidy","Villanova Wildcats",75.7
"Jada Lee","Robert Morris Colonials",75.7
"Aylesha Wade","Queens University Royals",75.7
"Tionna Lidge","Southern Jaguars",75.7
"Monesjia Harvey","Oakland City Mighty Oaks",75.7
"Yasmine Djibril","Canisius Golden Griffins",75.7
"Allison Schwertner","Boston University Terriers",75.7
"Haley Burchhardt","Bridgewater State (MA) Bears",75.7
"Emari Doby","Illinois-Springfield Prairie Stars",75.7
"Colette Duininck","Bethel (MN) Royals",75.7
"Kaitlyn Edmondson","Eastern New Mexico Greyhounds",75.7
"Denae Fritz","Texas Tech Lady Raiders",75.6
"Silvia Nativi","Northern Colorado Bears",75.6
"Portia Adams","UTEP Miners",75.6
"Sianny Sanchez-Oliver","New Mexico State Aggies",75.6
"Abigail Shoff","Saint Mary's Gaels",75.6
"Louella Allana","Saint Peter's Peacocks",75.6
"Marta Leimane","Colorado State Rams",75.6
"Kelsey Joens","Iowa State Cyclones",75.6
"Jaila Harding","New Mexico State Aggies",75.6
"Nyla Inmon","Sam Houston Bearkats",75.6
"Neani Stewart","Texas College Steers",75.6
"Taylor Bigby","TCU Horned Frogs",75.5
"Taylor McCabe","Iowa Hawkeyes",75.5
"Madison Adamson","Charleston Southern Buccaneers",75.5
"Hallie Rhodes","San Diego Toreros",75.5
"Laila Grant","Saint Peter's Peacocks",75.5
"Morgan Edwards","Cal State Northridge Matadors",75.5
"Simone Sawyer","Pennsylvania Quakers",75.5
"Keelie O'Hollaren","Air Force Falcons",75.5
"Sonia Randall","La Sierra Golden Eagles",75.5
"Mackenzie Pettinelli","St. Bonaventure Bonnies",75.5
"Brianna Barnes","Maryland Eastern Shore Hawks",75.5
"Kristen Lopez","Whittier Poets",75.5
"Elisha Quinn","Shaw Bears",75.5
"LaImani Simmons","UNC Asheville Bulldogs",75.4
"Samantha Johnston","Southern Utah Thunderbirds",75.4
"Kelby Bannerman","Kansas City Roos",75.4
"Laura Nickel","Northern Illinois Huskies",75.4
"Dani Bayes","Boise State Broncos",75.4
"Feliah Greer","Miles Golden Bears",75.4
"Victoria Aguayo","Sul Ross State Lobos",75.4
"Jorah Eppley","Stetson Hatters",75.4
"Jordan Harris","Southern-New Orleans Knights",75.4
"Kayla Williams","Texas A&M-Texarkana Eagles",75.4
"Paige Neal","Saint Elizabeth Eagles",75.4
"Kiyomi McMiller","Rutgers Scarlet Knights",75.4
"Paige Engels","Cornell Big Red",75.4
"Mackenzie Amalia","Eastern Michigan Eagles",75.4
"Jocelyn Tate","Southern Jaguars",75.4
"Kiley Snow","SUNY Geneseo Knights",75.4
"Alexia Smith","Oklahoma State Cowgirls",75.3
"Isabella Mauricio","Brown Bears",75.3
"Taylor Bell","SE Louisiana Lady Lions",75.3
"Raniya White","Jarvis Christian Bulldogs",75.3
