"Name","School","Rating"
"Ashley Hawkins","Gardner-Webb Runnin' Bulldogs",88.7
"Sayvia Sellers","Washington Huskies",88.7
"Tiarra Brown","Grand Canyon Lopes",88.6
"Gianna Kneepkens","Utah Utes",88.6
"Jorie Allen","DePaul Blue Demons",88.5
"Molly Mogensen","Creighton Bluejays",88.5
"Kayla Cooper","UAlbany Great Danes",88.5
"Alasia Smith","Memphis Tigers",88.5
"Emani Jefferson","Florida Gulf Coast Eagles",88.5
"Yarden Garzon","Indiana Hoosiers",88.5
"Meghan Mayotte","Ohio Dominican Panthers",88.5
"Britt Prince","Nebraska Cornhuskers",88.5
"Ashley Sofilkanich","Bucknell Bison",88.4
"Sira Thienou","Ole Miss Rebels",88.4
"Katie Collins","Pennsylvania Quakers",88.4
"Aylasia Fantroy","Texas Southern Tigers",88.4
"Liz Smith","Pacific Tigers",88.3
"Elise Williams","Wake Forest Demon Deacons",88.3
"Emily Mellema","Wyoming Cowgirls",88.3
"Nevaeh Thomas","Illinois State Redbirds",88.3
"Kendall Bostic","Illinois Fighting Illini",88.2
"Kylie Horstmeyer","San Diego Toreros",88.2
"Trinity Moore","Stephen F. Austin Ladyjacks",88.2
"Emma Smith","Denver Pioneers",88.2
"Destiny Brown","Alcorn State Lady Braves",88.2
"Liatu King","Notre Dame Fighting Irish",88.1
"Amellia Bromenschenkel","Purdue Fort Wayne Mastodons",88.1
"Gal Raviv","Quinnipiac Bobcats",88.1
"Julia Ayrault","Michigan State Spartans",88
"Megan Olbrys","Massachusetts Minutewomen",88
"Ta'Mia Scott","Middle Tennessee Blue Raiders",88
"Sophie Glancey","Northern Arizona Lumberjacks",88
"Mikayla Blakes","Vanderbilt Commodores",88
"Ashtyn Barrett","Alice Lloyd College Eagles",88
"Jade Hill","St. Thomas-Minnesota Tommies",87.9
"Mia Nicastro","Western Illinois Leathernecks",87.9
"Lauren Sansano","Texas Lutheran Bulldogs",87.9
"Amarachi Kimpson","UNLV Lady Rebels",87.9
"Fatmata Janneh","Saint Peter's Peacocks",87.9
"Jenna Batsch","Kent State Golden Flashes",87.8
"Brooke Paquette","Stonehill Skyhawks",87.8
"Delaney Gibb","BYU Cougars",87.8
"Adalia McKenzie","Illinois Fighting Illini",87.7
"Nina De Leon Negron","UTSA Roadrunners",87.7
"Allyson Fertig","Wyoming Cowgirls",87.7
"Taylor Feldman","Northern Arizona Lumberjacks",87.7
"Jerkaila Jordan","Mississippi State Bulldogs",87.6
"Ava Learn","Murray State Racers",87.6
"Kayla Presley","Texas Lutheran Bulldogs",87.6
"Hannah Stines","Washington Huskies",87.6
"Gemma Nunez","Campbell Fighting Camels",87.6
"Grace Arnolie","Brown Bears",87.6
"Ryley Goebel","Northern Iowa Panthers",87.6
"Hannah Ronsiek","Colorado State Rams",87.6
"Shawntenna Tillman","Coker Cobras",87.6
"Zyanna Walker","Kansas State Wildcats",87.5
"Chloe Hodges","Drexel Dragons",87.5
"Maddie Albrecht","Lehigh Mountain Hawks",87.5
"Madison Conner","TCU Horned Frogs",87.5
"Ronnie Porter","Wisconsin Badgers",87.5
"Briana Marquez","Northern New Mexico Eagles",87.5
"Amber Tretter","Miami (OH) RedHawks",87.5
"Amelia Hassett","Kentucky Wildcats",87.5
"Jaloni Cambridge","Ohio State Buckeyes",87.5
"Teonni Key","Kentucky Wildcats",87.4
"Flau'jae Johnson","LSU Tigers",87.4
"La'Nya Foster","Austin Peay Governors",87.4
"Caia Elisaldez","Chattanooga Mocs",87.4
"Maya Hernandez","Loyola Marymount Lions",87.4
"Aziaha James","NC State Wolfpack",87.3
"Sydney Freeman","Purdue Fort Wayne Mastodons",87.3
"Bella Vito","Vermont Catamounts",87.3
