player,team,conf,pos,g,mpg,ppg,rpg,apg,spg,bpg,ts,efg,tpar,team_z,sos_z,opp_z_w,rating_raw,rating
Jayde Gamble,UNC Greensboro Spartans,SoCon,Guard,30,32.33,11.433333333333334,4.1,2.6,1.7,0.2,0.47224363916730916,0.4305555555555556,0.27469135802469136,0.6590640310950774,-0.5379667317504858,0,70.8366801272164,71
Valentina Saric,Jacksonville State Gamecocks,CUSA,Guard,29,14.408620689655173,5.931034482758621,2.0689655172413794,0.3103448275862069,0.20689655172413793,0.034482758620689655,0.4419321685508736,0.43351063829787234,0.8031914893617021,0.4512423523969855,-0.22608782997308322,0,70.82754366829812,71
Katlyn Manuel,UL Monroe Warhawks,Sun Belt,Center,28,25.126190476190477,7.785714285714286,4.142857142857143,0.5357142857142857,0.6071428571428571,0.8214285714285714,0.4652552501280519,0.43577981651376146,0,0.47205791402118125,-0.051258090154893216,0,70.81841267725262,71
Christeina Bryan,Seattle U Redhawks,WAC,Center,29,23.137931034482758,9.068965517241379,5.517241379310345,0.9310344827586207,1.3793103448275863,0.2413793103448276,0.5029065320483401,0.4502262443438914,0.04072398190045249,-0.12467111468135202,-0.35136300510463153,0,70.80928715365286,71
Olivia Tucker,Campbell Fighting Camels,CAA,Guard,27,21.726543209876542,8.518518518518519,1.962962962962963,0.5925925925925926,0.8518518518518519,0.037037037037037035,0.44422126081582203,0.4311740890688259,0.5303643724696356,0.620054275829605,-0.3696157491837113,0,70.8001670970716,71
Journey Thompson,Syracuse Orange,ACC,Center,30,9.76,2.966666666666667,2.2666666666666666,0.2,0.3333333333333333,0.43333333333333335,0.5410992217898833,0.5205479452054794,0,1.0466155493153928,1.5644082879284316,0,70.7910525070814,71
Sophia Vital,Rhode Island Rams,A10,Guard,33,25.108585858585858,6.7272727272727275,3.242424242424242,3.909090909090909,1.606060606060606,0.18181818181818182,0.4358410554421234,0.40384615384615385,0.3803418803418803,0.8300901579522818,0.27654147783080907,0,70.78194338325466,71
Lexus Bargesser,Indiana Hoosiers,Big Ten,Guard,33,15.465656565656566,2.9696969696969697,1.9393939393939394,1.606060606060606,0.36363636363636365,0.06060606060606061,0.44529262086514,0.391304347826087,0.20652173913043478,1.4614051885638055,2.0974450010074883,0,70.77283972516354,71
Portia Adams,UTEP Miners,CUSA,Guard,29,25.977586206896554,9.137931034482758,3.1379310344827585,2.3793103448275863,0.8275862068965517,0,0.44131361577404743,0.3847583643122677,0.25650557620817843,0.33842420073770824,-0.07777151938796337,0,70.76374153238008,71
Timberlynn Yeast,Marshall Thundering Herd,Sun Belt,Guard,32,16.552604166666665,3.65625,2.84375,0.96875,0.96875,0.0625,0.5603448275862069,0.550561797752809,0.5168539325842697,0.5545509951365438,0.08349035036991423,0,70.75464880447608,71
Rayne Tucker,UAB Blazers,AAC,Center,30,12.301666666666668,4.633333333333334,2.7333333333333334,0.6,0.6,0.6,0.5552892297858741,0.5462184873949579,0,0.5813956554621457,0.02190617730121319,0,70.74556154102315,71
Erin Toller,Bellarmine Knights,ASUN,Guard,32,17.696354166666666,7.78125,2.0625,0.96875,0.8125,0.15625,0.4096472755988418,0.3686131386861314,0.48175182481751827,0.3719532725841498,-0.6381534377863092,0,70.73647974159275,71
Zoe Shaw,St. Bonaventure Bonnies,A10,Guard,30,34.32944444444445,11,3.8666666666666667,2.1666666666666665,0.6333333333333333,0.2,0.4979478512795751,0.45514950166112955,0.4186046511627907,0.015212285077581421,0.07895625826892715,0,70.72740340575609,71
Taylor Barbot,Charleston Cougars,CAA,Guard,24,31.855555555555554,12.083333333333334,3.9583333333333335,5.375,1.875,0.041666666666666664,0.5035421586331436,0.4402390438247012,0.14342629482071714,0.9555038455615724,-0.9107816279944829,0,70.71833253308424,71
Harriet Ford,Omaha Mavericks,Summit League,Center,31,15.57795698924731,6.354838709677419,6.290322580645161,0.5806451612903226,0.22580645161290322,0.22580645161290322,0.4984817813765182,0.4888888888888889,0,0.34880134684885544,0.019417339542377843,0,70.70926712314805,71
Summer Bostock,Houston Cougars,B12,Guard,30,17.18166666666667,3.966666666666667,2.3,0.43333333333333335,0.6333333333333333,0.3333333333333333,0.46484375,0.4358974358974359,0.6324786324786325,0.6705418259208451,1.3992711959953033,0,70.7002071755182,71
Kiley Bess,Missouri State Lady Bears,MVC,Guard,31,28.4994623655914,5.419354838709677,4.67741935483871,2.2580645161290325,1.2258064516129032,0.12903225806451613,0.5158437730287398,0.48299319727891155,0.4013605442176871,1.10470972873368,0.4592488942418919,0,70.69115268976518,71
Sarah Rambus,Oregon Ducks,Big Ten,Center,30,11.115555555555554,3.433333333333333,1.7666666666666666,0.5666666666666667,0.23333333333333334,0.4666666666666667,0.5193626462283178,0.4634146341463415,0,1.4232293844525938,2.1322920442179543,0,70.68210366545924,71
Claire McDougall,Bradley Braves,MVC,Forward,28,23.020238095238092,6.357142857142857,3.9285714285714284,1.1428571428571428,0.5,0.14285714285714285,0.571538659131775,0.51171875,0.28125,0.5228989657532171,-0.14331571360441042,0,70.6730601021705,71
Olivia Kulyk,NJIT Highlanders,AEC,Guard,30,26.060555555555553,8.766666666666667,4.133333333333334,0.7333333333333333,0.5333333333333333,0.5,0.5572978470927276,0.5339366515837104,0.583710407239819,0.2781308036974628,-0.7470094614345448,0,70.66402199946886,71
Aisha Dabo,Hampton Lady Pirates,CAA,Forward,22,23.568181818181817,8,4.5,0.5909090909090909,0.8181818181818182,0.36363636363636365,0.5055147058823529,0.49375,0.275,0.07356658710404866,-0.39643115365648146,0,70.65498935692402,71
Georgia Grigoropoulou,Santa Clara Broncos,WCC,Center,31,14.758064516129032,4.419354838709677,4.741935483870968,0.7741935483870968,0.1935483870967742,0.6774193548387096,0.5303499535459895,0.5446428571428571,0.008928571428571428,0.487284202035044,0.0538194821206078,0,70.6459621741055,71
Hannah Rapp,Santa Clara Broncos,WCC,Guard,31,23.8752688172043,5.161290322580645,5.064516129032258,1.2580645161290323,0.8387096774193549,0.12903225806451613,0.5231493591420351,0.5103448275862069,0.3931034482758621,0.487284202035044,0.0538194821206078,0,70.63694045058264,71
Cady Pauley,Missouri State Lady Bears,MVC,Guard,31,12.23279569892473,3.032258064516129,1.5161290322580645,0.7419354838709677,0.3548387096774194,0.16129032258064516,0.3858784893267652,0.3584070796460177,0.4690265486725664,1.10470972873368,0.4592488942418919,0,70.62792418592456,71
Triniti Ralston,Southern Indiana Screaming Eagles,OVC,Guard,33,28.405050505050507,8.757575757575758,3.090909090909091,2.696969696969697,2.242424242424242,0.09090909090909091,0.5192611757941642,0.4606986899563319,0.45414847161572053,0.6855514494762306,-0.44514253055731295,0,70.61891337970022,71
Ariana Bennett,Mercer Bears,SoCon,Center,30,33.51611111111111,10.466666666666667,4.833333333333333,0.7,0.8333333333333334,0.4666666666666667,0.5137434554973822,0.43529411764705883,0.011764705882352941,0.07506129117444346,-0.23537029159705053,0,70.60990803147834,71
Leilani Augmon,Houston Cougars,B12,Forward,30,17.58833333333333,3.7,3.7,0.8333333333333334,0.6,0.23333333333333334,0.41905768649954694,0.3925619834710744,0.2809917355371901,0.6705418259208451,1.3992711959953033,0,70.60090814082749,71
Kennedy Langham,Samford Bulldogs,SoCon,Guard,31,31.188709677419357,11.064516129032258,3.4516129032258065,2.3225806451612905,1.2258064516129032,0.22580645161290322,0.3978749072011878,0.3428184281842818,0.2086720867208672,0.30812379769900505,-0.275866027588602,0,70.59191370731602,71
A'riel Jackson,Cincinnati Bearcats,B12,Guard,29,27.555172413793105,6.896551724137931,2.9310344827586206,2.0689655172413794,1.0689655172413792,0.10344827586206896,0.4265483705852244,0.37735849056603776,0.2971698113207547,1.003014760512707,1.484928682330081,0,70.5829247305121,71
Raimi McCrary,Incarnate Word Cardinals,Southland,Center,29,26.538505747126436,7.9655172413793105,5.344827586206897,1.5862068965517242,1.1379310344827587,0.5517241379310345,0.515901375737002,0.4701492537313433,0.0845771144278607,0.4387832411483385,-0.4004436632298062,0,70.57394120998373,71
Adria Lincoln,Montana Lady Griz,Big Sky,Guard,29,16.897701149425288,4.793103448275862,2.206896551724138,0.3793103448275862,0.41379310344827586,0.06896551724137931,0.5119328226281674,0.4796747967479675,0.5203252032520326,0.5357994828065155,0.18359528452581964,0,70.56496314529866,71
Bella Weary,Arkansas State Red Wolves,Sun Belt,Guard,31,18.299999999999997,5.67741935483871,2.4838709677419355,1.3225806451612903,1.1935483870967742,0.25806451612903225,0.44507384179647985,0.38823529411764707,0.40588235294117647,0.7081840235088372,-0.027620242658333925,0,70.5559905360245,71
Shania Nichols-Vannett,IU Indianapolis Jaguars,Horizon,Guard,29,23.10287356321839,9,2.4482758620689653,1.7586206896551724,1.1379310344827587,0.10344827586206896,0.5614352090862158,0.4849246231155779,0.48743718592964824,0.23102414646829678,-0.20383245358115976,0,70.54702338172861,71
Brianna Turnage,Florida State Seminoles,ACC,Guard,32,13.915625,1.65625,3.4375,1.03125,0.3125,0.3125,0.4276952872821175,0.4396551724137931,0.5862068965517241,1.650179001111128,1.752058284167248,0,70.53806168197819,71
Allison Clarke,Loyola Marymount Lions,WCC,Guard,29,25.52183908045977,5.241379310344827,0.8275862068965517,0.8275862068965517,0.5172413793103449,0.1724137931034483,0.5157437567861021,0.4892086330935252,0.8489208633093526,0.46810914593562714,-0.18554465800631262,0,70.52910543634027,71
Ali Saunders,Southern Indiana Screaming Eagles,OVC,Guard,33,31.116161616161612,10.030303030303031,3.4545454545454546,4.181818181818182,2.303030303030303,0.18181818181818182,0.5292274238935789,0.49298245614035086,0.4105263157894737,0.6855514494762306,-0.44514253055731295,0,70.52015464438165,71
Emma Von Essen,Hofstra Pride,CAA,Guard,23,29.881159420289855,11.173913043478262,2.130434782608696,1.608695652173913,0.7391304347826086,0.043478260869565216,0.4640999711066166,0.44339622641509435,0.6528301886792452,0.2984441205403632,-0.40559475465452605,0,70.51120930566893,71
Dominique Camp,Syracuse Orange,ACC,Guard,30,21.824444444444445,4.133333333333334,1.6,3.9,1.1,0.23333333333333334,0.5161505161505161,0.4818181818181818,0.5,1.0466155493153928,1.5644082879284316,0,70.50226941976852,71
Meghan O'Brien,Lehigh Mountain Hawks,Patriot,Guard,32,21.6359375,6.09375,3.5,1.1875,0.90625,0.46875,0.5701754385964912,0.5375,0.35625,0.7353450402864348,-0.48512557001539647,0,70.49333498624667,70
Beatrice Culliton,Oklahoma Sooners,SEC,Center,35,9.614761904761904,1.8,2.8857142857142857,1.0857142857142856,0.2,0.2571428571428571,0.582901554404145,0.574468085106383,0,1.822566879537598,2.1342320088440916,0,70.48440600466938,70
Raphaela Toussaint,Eastern Kentucky Colonels,ASUN,Forward,32,19.66614583333333,8.15625,5.15625,0.9375,0.71875,0.3125,0.5123272613065326,0.46255506607929514,0.31718061674008813,0.5602134877579408,-0.7815733033568576,0,70.47548247460249,70
Halle Nelson,Utah Valley Wolverines,WAC,Forward,29,21.840804597701148,7.103448275862069,6.344827586206897,1.1379310344827587,1.6206896551724137,0.6206896551724138,0.5031262211801485,0.4717514124293785,0.2033898305084746,0.4719748869315746,-0.7091207948072421,0,70.46656439561164,70
Teneisia Brown,Fairleigh Dickinson Knights,NEC,Center,31,30.237634408602155,14.258064516129032,9.612903225806452,1.903225806451613,1.1290322580645162,0.25806451612903225,0.5338680065706832,0.5163934426229508,0.00546448087431694,0.5008823155769918,-1.3371088459524143,0,70.45765176726225,70
Jadyn Fife,Colorado State Rams,Mountain West,Guard,29,10.62241379310345,2.7241379310344827,1.8620689655172413,0.3793103448275862,0.27586206896551724,0.13793103448275862,0.46188026192703463,0.4329268292682927,0.4634146341463415,0.887448672688939,0.18440629854199805,0,70.44874458911957,70
Megan Harkey,Pepperdine Waves,WCC,Center,29,16.792528735632185,5.344827586206897,3.0689655172413794,0.9655172413793104,0.1724137931034483,1.0689655172413792,0.5604570436794909,0.5676691729323309,0.022556390977443608,0.2997746004833078,0.20215132625697657,0,70.43984286074866,70
Mireia Aguado,Texas A&M-Corpus Christi Islanders,Southland,Guard,32,29.133854166666662,10.5625,4.03125,3.0625,1.3125,0.34375,0.5026171782060432,0.4717314487632509,0.16607773851590105,0.363523937159711,-0.8277479799230388,0,70.43094658171435,70
Caitlin Frost,St. Bonaventure Bonnies,A10,Center,30,22.434444444444445,7.233333333333333,4.366666666666666,0.7666666666666667,0.8666666666666667,0.36666666666666664,0.47280808785079315,0.4475,0.1,0.015212285077581421,0.07895625826892715,0,70.4220557515813,70
Coryn Watts,Denver Pioneers,Summit League,Guard,29,24.294827586206896,6.724137931034483,2.0344827586206895,1.1724137931034482,1.0344827586206897,0.13793103448275862,0.5499774368231047,0.5436046511627907,0.5697674418604651,0.3522136326177467,-0.16936111016175992,0,70.41317036991394,70
Amaya Oliver,Temple Owls,AAC,Center,27,19.91913580246914,4.7407407407407405,4.074074074074074,0.6666666666666666,0.7407407407407407,0.7777777777777778,0.47932893948472133,0.4495798319327731,0.06722689075630252,0.9293557920625332,0.6460609983544514,0,70.40429043627657,70
Te'Yala Delfosse,Michigan Wolverines,Big Ten,Forward,34,6.9372549019607845,2.3823529411764706,1.3235294117647058,0.2647058823529412,0.20588235294117646,0.11764705882352941,0.5443548387096774,0.5285714285714286,0.2,1.6326371349670803,2.068348557574737,0,70.3954159502332,70
Karlee White,Harvard Crimson,Ivy League,Guard,24,20.756944444444446,4.708333333333333,3.4166666666666665,1,0.9583333333333334,0.08333333333333333,0.5166422823701536,0.48514851485148514,0.36633663366336633,1.2742678386469821,0.2846866951284244,0,70.38654691134774,70
Allie Meadows,Western Illinois Leathernecks,OVC,Guard,33,36.96969696969697,7.515151515151516,3,3.0303030303030303,0.696969696969697,0.36363636363636365,0.5591630591630592,0.5358851674641149,0.7177033492822966,0.46020858536160014,-0.6038719677490055,0,70.37768331918382,70
Marina Asensio,Western Michigan Broncos,MAC,Guard,29,35.47816091954023,13.344827586206897,3.1379310344827585,4.862068965517241,1.0689655172413792,0.1724137931034483,0.5360704787234043,0.49537037037037035,0.5339506172839507,0.3321130215271791,-0.10526358050795218,0,70.3688251733049,70
Teagan Mallegni,Iowa Hawkeyes,Big Ten,Guard,32,7.593229166666666,2.59375,1.84375,0.4375,0.34375,0.21875,0.44036502546689305,0.38823529411764707,0.6,1.620085208055328,2.2637553154023498,0,70.35997247327428,70
