"pos","exp","hgt","mpg","ppg","rpg","apg","spg","bpg","two_pct","three_pct","ft_pct","tov","ast_to","efg","ts","usg","ortg","drtg","rim_pct","mid_pct","obpm","dbpm","bpm","ftr","pfr","Rating"
"Wing F","Sr","6-6",22.5625,9.3125,4.4375,1.125,0.5625,0.5,0.431,0.313,0.696,1.40620004474341,0.80002842,45,47.46,22.8,95.5,111.939,0.481,0.3621,-0.465175,-2.04938,-2.51456,19.9,3,66
"PF/C","Sr","6-7",28,13,8.5263,1.2632,1.2105,0.3158,0.507,0.381,0.704,1.68419999480287,0.75002969,51.6,56.74,23.3,114.9,105.425,0.5341,0.4583,2.84855,-0.421493,2.42706,62.4,2.9,73
"PF/C","Sr","7-5",12.875,4.2083,2.9583,0.375,0.5417,0.875,0.686,0.238,0.889,0.375,1,59,62.69,14.7,123.4,105.26,0.7179,0.5833,2.82488,2.56293,5.38781,25,3,76
"C","Sr","6-11",17.6842,4.6316,4.1053,0.3684,0.0526,0.9474,0.367,0,0.63,1.15789996423208,0.3181622,35.5,44.5,18.6,92.4,106.378,0.4419,0.1765,-4.82106,-1.81052,-6.63159,87.1,6.3,60
"Wing F","Sr","6-8",32.5625,11.875,4.5,0.75,0.5625,0.5625,0.478,0.396,0.871,0.9375,0.8,55.8,59.11,15.3,116.2,107.777,0.6,0.4,3.05291,0.571249,3.62416,21.2,2.8,80
"C","Sr","6-10",32.4062,11.1562,9.375,2,0.6875,1.4688,0.62,0.118,0.522,1.68749999314453,1.18518519,58.6,57.86,19.5,112.7,104.978,0.6667,0.3548,1.17512,0.298878,1.474,50.9,3,78
"PF/C","Sr","6-9",16.3636,5.2727,2.6061,0.3939,0.3939,0.7879,0.694,0.333,0.32,0.545499974199887,0.72208986,68.8,62.12,14.5,115.2,94.9083,0.7111,0.5714,0.694267,3.22149,3.91575,49.5,3.8,75
"Scoring PG","Sr","6-3",25.7,7.55,2.55,2.8,0.8,0.3,0.446,0.367,0.688,2.25000004419643,1.24444442,47.3,52.65,19.6,93.6,110.048,0.4902,0.375,-1.74621,0.613471,-1.13274,56.6,3.6,81
"Wing G","Sr","6-5",24,11.4118,2.8235,1.1176,0.7941,0.1765,0.492,0.371,0.848,1.35290007434777,0.82607727,51.4,55.98,23.1,108.9,105.359,0.5556,0.4615,1.05421,-1.78824,-0.734028,28.6,3.8,66
"Wing F","Sr","6-7",16.7778,6.3333,1.7407,0.2593,0.2593,0.2963,0.6,0.337,0.632,0.518499981353597,0.50009645,53.5,54.34,18.8,106,109.319,0.7,0.3,1.7064,-1.23126,0.475145,14.7,2.6,65
"Wing G","Sr","6-5",30.8387,15.6129,6.0323,2.3226,1.0323,0.2903,0.478,0.381,0.795,1.87100013907236,1.24136816,51.7,54.57,25.7,109.8,100.136,0.5534,0.402,2.15794,0.310042,2.46798,20.7,2.7,78
"Wing G","Sr","6-5",19.9706,5.8824,2.7353,0.8235,0.5,0.0882,0.429,0.351,0.719,0.705900033343169,1.16659578,47.8,49.95,15.7,101,103.512,0.5,0.403,-0.201706,0.617291,0.415585,17.3,2.8,76
"PF/C","Sr","6-10",25,10.3846,4.8462,0.8462,0.3077,1.8462,0.548,0.385,0.839,1.30770006311948,0.64709028,55.9,65.01,19,120.6,112.896,0.5526,0.5,1.00872,-0.830278,0.178443,82.4,4.4,67
"Combo G","Sr","6-1",33.0323,13.871,3.5484,3,0.7419,0.0645,0.471,0.351,0.775,1.32260000518106,2.26825948,49.7,52.75,22.2,109.2,109.953,0.4444,0.4884,1.86285,-1.05379,0.809057,22.1,1.8,75
"Wing G","Sr","6-5",20.2188,5.4688,2.5938,0.8438,0.375,0.125,0.412,0.333,0.654,0.8438,1,42.7,46.25,17.3,97.4,110.728,0.4615,0.3913,-1.95169,-1.86172,-3.81341,32.9,2.6,62
