"pos","exp","hgt","mpg","ppg","rpg","apg","spg","bpg","two_pct","three_pct","ft_pct","tov","ast_to","efg","ts","usg","ortg","drtg","rim_pct","mid_pct","obpm","dbpm","bpm","ftr","pfr","Rating"
"Wing G","Jr","6-4",23.1515,12.3939,2.6667,0.5455,0.8485,0,0.519,0.398,0.861,0.939400051769467,0.58068977,55.2,60.43,22.7,117.6,100.941,0.6239,0.2941,1.94799,0.0444471,1.99243,36.3,3.6,76
"Combo G","Jr","6-6",31,10.871,4.5806,3.2581,2.1935,0.8065,0.467,0.313,0.726,2.09680007110109,1.5538439,46.8,49.35,21,97.3,100.707,0.5743,0.3373,0.488699,3.34625,3.83495,19.9,2.9,84
"PF/C","Jr","6-10",13.8846,3.3462,2.7692,0.6538,0.3462,0.3077,0.407,0.283,0.8,0.499999992352402,1.30760002,41.9,47.35,14.6,101.5,105.891,0.4,0.4286,-1.07447,1.22346,0.148994,31.3,4.5,64
"Stretch 4","So","6-8",12.5,2.4,2,1.1,0.2,0.3,0.5,0,0.8,1.1,1,31.3,43.37,15.6,75.1,114.745,0.6,0.4,-7.97132,-0.0497513,-8.02107,62.5,7.9,52
"PF/C","Jr","6-7",17.5455,2.6364,2.3636,0.7273,0,0.3636,0.294,0.161,0.8,0.7273,1,26,28.78,14,62.7,117.068,0.75,0.1538,-7.42798,-2.92723,-10.3552,10.4,2.7,56
"Combo G","Jr","5-11",7.8571,3.1429,0.5357,0.2857,0.1786,0.1071,0.438,0.419,0.87,0.357100016390103,0.80005597,57.6,62.92,16.4,121,114.4,0.4615,0.3333,0.799869,-1.38074,-0.58087,39,4.5,54
"Combo G","Jr","6-4",10.8636,1.8636,1.1364,0.6364,0.5,0,0.455,0.333,0.917,0.454500000649898,1.40022002,46.4,54.9,11.1,100.1,103.219,0.4545,0.4545,-6.4649,0.886646,-5.57825,42.9,3,42
"PF/C","Jr","7-1",16.4643,8.9643,4.5714,0.7143,0.5,1.1071,0.567,0.22,0.802,0.750000023624528,0.95239997,50.9,58.05,25,118.8,92.9894,0.6023,0.4872,4.04452,2.48509,6.5296,57.1,3.7,78
"C","Jr","6-10",22.2188,7.0312,5.75,0.3438,0.4062,0.375,0.554,0,0.458,1.24999995455207,0.27504001,55.4,53.41,17.4,101.4,113.072,0.6281,0.2222,-1.88923,-2.06243,-3.95166,81.1,3.9,62
"Wing G","Jr","6-5",18,6.8333,2.3333,0.5,0.7,0.2333,0.511,0.39,0.75,0.6999999846,0.71428573,56.1,57.51,16.1,105.3,110.917,0.8333,0.3103,-0.958825,-1.27607,-2.23489,13.6,5.4,58
"Wing F","Sr","6-6",35.3125,21.0938,12,5.4688,0.625,0.0312,0.473,0.243,0.714,3.46880003450533,1.57656825,46.5,51.98,35.4,107.4,98.1466,0.5127,0.373,5.33755,1.14702,6.48458,50.3,1.8,84
"Wing G","Jr","6-2",27.5667,9.0667,2.9,1.0667,0.8,0.4333,0.389,0.307,0.769,1.0333000634026,1.03232356,43.9,47.39,19.3,96.2,105.276,0.4615,0.303,-2.62782,-1.31745,-3.94528,21.8,3.3,61
"Wing G","Sr","6-7",16.5862,5.4828,1.6207,0.7931,0.6552,0.069,0.8,0.414,0.75,0.31029999295477,2.55591369,63.8,64.52,12.1,131,108.421,0.7778,1,3.43051,0.107256,3.53776,11,1.9,67
"Pure PG","Sr","5-8",4.8889,0.5556,0.4444,1.2222,0.1111,0,0,0,0,0.333299984245563,3.66696687,0,0,16.9,46.8,116.743,0,0,-10.4285,-7.21564,-17.6442,0,3.1,48
"C","So","7-0",8.3333,2.5556,2.8148,0.1481,0.2222,0.8148,0.696,0,0.526,0.518499963151843,0.28563165,69.6,65.57,12.5,108,93.3873,0.7333,0.625,-5.03111,5.18935,0.158242,82.6,10.3,58
"Wing G","Sr","6-6",30.6389,21.6111,4.8889,1.8056,0.6944,0.6389,0.499,0.397,0.77,1.69439990602349,1.06562801,53.8,57.72,29.8,114.5,98.728,0.5894,0.3603,7.76294,2.13839,9.90133,35.4,2.3,91
"Combo G","Jr","6-2",22.8788,5.7576,1.8788,0.9091,0.6061,0.1212,0.579,0.416,0.893,0.333299996001207,2.72757279,61.7,64.89,9.8,129.5,111.79,0.6923,0.3333,-0.624728,-0.690637,-1.31536,23.3,4.1,62
"Combo G","Jr","6-5",33,13.3077,5.2308,3.2308,2.6154,0.2308,0.521,0.267,0.698,1.53849999326894,2.09996751,47.4,51.31,20.7,103.3,100.437,0.5116,0.5357,0.264763,2.05859,2.32335,37.1,2.6,78
"C","So","6-9",10.1818,1.0455,1.6364,0.2273,0.0909,0.1364,0.304,0,0.5,0.545499977968809,0.41668196,30.4,34.23,11.1,78.4,112.768,0.3158,0.25,-6.90266,-1.17678,-8.07944,43.5,7.1,50
"C","Jr","6-10",24.5455,12.3939,6.7273,1.1818,0.6667,1.6061,0.602,0,0.57,1.9696999545959,0.59998986,58.7,58.97,25.9,104.3,104.117,0.6307,0.4211,0.502555,0.665455,1.16801,44.8,4.8,72
"Stretch 4","Jr","6-7",21.6667,7.9333,2.7333,0.4667,0.5333,0.5333,0.534,0.333,0.776,0.933300043565334,0.50005355,51.2,55.03,15.7,106.4,113.257,0.587,0.3333,-1.99608,-1.84834,-3.84442,30.1,4.4,60
"Wing F","Jr","6-8",26.8788,8.3939,3.9394,1,0.6364,0.2727,0.385,0.342,0.813,0.84850001657969,1.17855036,48.1,50.14,16.2,103,106.394,0.3684,0.3913,0.98764,0.240757,1.2284,12.3,2.8,76
"Scoring PG","Jr","6-1",36.3889,16.0278,3.6111,4.0278,1.7778,0.1667,0.412,0.297,0.762,2.08330006896179,1.93337487,42.8,47.04,26.4,99.4,107.15,0.4673,0.275,0.289724,0.285335,0.575059,26.6,3.1,75
"Combo G","Jr","6-2",28.5652,9.5652,2.913,2.087,1,0.5217,0.297,0.351,0.704,1.60870012158597,1.29732072,41.2,43.01,21.4,89.1,109.038,0.3684,0.2603,-2.84418,-1.73943,-4.58361,12.2,3.5,60
"C","So","6-8",19.8,6.4333,3.3333,0.2333,0.5,0.6667,0.621,0,0.667,1.33329995797219,0.17497938,62.1,63.26,16.1,104.2,118.589,0.7432,0.4048,-3.28134,-2.07151,-5.35285,36.2,4.7,56
"Wing G","Jr","6-5",12.2258,0.9355,1.5806,1.1613,0.3871,0.2258,0.409,0.1,0,0.709700020746488,1.63632516,28.6,27.04,11.1,64.9,102.062,0.3077,0.5556,-6.66177,0.743718,-5.91805,11.9,4.6,48
"Wing G","Jr","6-3",16,4.5294,2.0882,0.8235,0.5588,0.0294,0.537,0.315,0.774,0.764700013616953,1.07689288,49.6,53.21,16.1,103.7,111.124,0.6296,0.3571,-2.44307,-1.39701,-3.84008,27.2,4.3,52
"Wing F","Jr","6-7",13.7742,3.2581,2.9032,0.7742,0.5161,0.3871,0.581,0.263,0.571,0.516099976071547,1.50009695,52.4,54.3,13.6,110.8,98.8141,0.6286,0.375,-2.06629,2.20832,0.142029,67.7,5.8,58
"C","Jr","6-9",18.2308,6.0385,4.8462,0.3077,0.5385,1.0769,0.547,0,0.581,1.03849992954603,0.29629275,54.7,55.5,17.3,103.1,100.544,0.6027,0.4242,-2.9383,1.24343,-1.69486,29.2,5.7,69
"Combo G","Jr","6-4",25.8696,12.5652,3.6087,1.7391,1.4348,0.2609,0.52,0.304,0.837,0.652199992531821,2.66651337,49.1,52.34,22.8,107.7,100.352,0.6364,0.4783,2.57293,0.786426,3.35935,18.9,2.4,72
"Wing G","Jr","6-5",24.6452,7,5,1.9677,1.5161,0.1613,0.605,0.326,0.836,1.2258000351163,1.60523735,56.1,61.77,14.5,119.1,98.266,0.6481,0.5,0.749573,1.33025,2.07983,45.1,3.3,69
"Combo G","Jr","6-2",28.7812,15.1562,3.5,2.0312,1.0312,0,0.533,0.31,0.727,2.09380014356014,0.97010214,51,55.47,26.9,101.1,104.248,0.5,0.5728,0.293884,-1.37504,-1.08116,44.4,1.9,70
"Wing G","Jr","6-5",27.375,13.4688,2.9688,1.3438,0.75,0.1875,0.541,0.385,0.926,1.65620011787885,0.81137538,55.1,60.51,23.1,113,115.05,0.5938,0.4674,3.20038,-1.16764,2.03274,30.5,3,76
"C","Jr","6-8",13.125,6.25,4,0.375,0.25,0.625,0.464,0,0.5,0.874999997083333,0.42857143,46.4,47.62,27.1,90.4,100.567,0.4783,0.4,-2.31912,-2.1428,-4.46192,50,4.3,53
"Combo G","So","6-3",32.1852,13.8889,3.4444,1.4074,0.6667,0,0.458,0.379,0.794,0.740700002026215,1.9000945,51.9,53.42,21.5,107.5,117.862,0.3864,0.49,1.31588,-2.6825,-1.36662,10.7,2.4,68
"Combo G","So","6-0",10.8696,2.4783,0.7391,0.5652,0.3913,0,0.385,0.325,0.8,0.43480002129997,1.29990794,46.2,49.35,14.7,94.1,116.294,0.3333,0.4286,-5.09168,-1.23937,-6.33105,18.9,5.2,44
"PF/C","Jr","6-8",23.5161,8.3871,4.6774,1.129,0.4194,1.4516,0.541,0.308,0.726,1.09680002424035,1.02935811,53.6,57.2,18.7,111.9,100.376,0.6526,0.4,-1.58661,0.16925,-1.41736,39.9,4.7,67
"PF/C","Jr","6-8",19,9.1333,5.2,1.5333,0.7,0.5667,0.596,0.382,0.739,1.3332999537332,1.15000379,58.4,60.37,22.7,112.8,101.89,0.6324,0.4762,2.6557,0.0373471,2.69305,24.1,4.5,77
"Combo G","So","6-3",18.5938,5.6562,2,1.5625,1.125,0.3125,0.443,0.275,0.667,1.21879994983458,1.28199874,42.9,46.55,20.1,88.4,99.5372,0.5088,0.2727,-3.33504,2.87575,-0.459292,32.4,4.6,65
"PF/C","So","6-5",16,4.2571,4.6,0.8,0.3714,0.4,0.586,0.357,0.556,0.48570000526681,1.64710725,57.9,57.98,15,120.9,96.1548,0.6324,0.4211,0.516957,1.44556,1.96252,26.7,3,68
"Wing F","So","6-6",14.1515,3.8182,2.5455,0.5758,0.3939,0.0303,0.479,0.588,0.515,0.787899969216072,0.73080343,55.6,55.36,15.8,101.9,106.785,0.5686,0.2727,-1.94961,0.216793,-1.73282,36.7,5.4,65
"Wing G","So","6-4",13.7333,4.6667,1.2667,0.5,0.4,0.1,0.594,0.431,0.846,0.300000012,1.6666666,62.9,64.45,14,123.5,108.425,0.5789,0.6154,1.81861,0.44881,2.26742,13.4,3.8,64
"Combo G","Jr","6-0",19.2727,7.1818,1.5758,1.4848,0.7273,0.0909,0.388,0.34,0.811,1.06060005719726,1.39996221,45.4,50.2,19.4,100.4,106.626,0.4167,0.3673,-2.49048,-1.55655,-4.04703,28.6,2.9,59
"PF/C","Jr","6-7",15.7742,4.129,4.0968,0.4516,0.9677,1.0968,0.493,0.2,0.677,0.96770003287523,0.46667354,48,51.85,15,93.2,100.131,0.5246,0.25,-4.89594,2.26673,-2.62921,41.9,7,58
"Scoring PG","Jr","6-0",32.9167,19.0833,3.4722,4.0278,1.8333,0.0278,0.41,0.325,0.847,2.80559986811633,1.43562881,45,50.87,29.8,109.8,105.399,0.5424,0.3152,4.5607,1.9974,6.5581,32.5,3.6,85
"Wing G","Jr","6-5",19.1613,7.4194,2,0.9032,0.4839,0.1613,0.52,0.262,0.769,0.677400016935,1.3333333,47,50.4,18.4,105,107.556,0.6,0.4545,-1.24105,-0.801656,-2.04271,23.6,1.9,64
"Wing F","Sr","6-6",27.1667,13.5333,7.3667,1.2333,1.0333,0.2,0.448,0.391,0.784,1.46669998781972,0.84086726,48.3,55.03,24.8,111.7,103.329,0.5385,0.3067,3.12177,-0.393096,2.72867,51.1,2.4,73
"Stretch 4","So","6-7",29.4118,10.4706,7.7059,1.6471,0.7059,0.3529,0.438,0.314,0.536,1.00000001821383,1.64709997,44.8,45.88,19.5,99.5,105.441,0.4286,0.4444,-0.510077,-1.39694,-1.90702,22.6,3.3,68
"Wing G","Jr","6-5",22.4444,6.5556,2.8519,0.9259,0.9259,0.1111,0.35,0.27,0.761,1.48150006593867,0.62497466,38.1,46.5,18.6,89.5,107.29,0.5185,0.2121,-4.26493,-0.832434,-5.09737,53,4,54
"Scoring PG","Fr","6-3",33.1714,14.8286,3.0857,3.8286,1.6,0.1714,0.51,0.275,0.811,2.57139997153366,1.48891656,48,52.6,25.7,104.8,100.474,0.6104,0.4054,0.849301,1.97622,2.82552,29.3,3.3,83
"C","Sr","6-9",13.25,3.4375,3.2188,0.7812,0.4062,0.375,0.536,0,0.444,1.00000001280082,0.78119999,53.6,53.24,17.3,96.7,102.741,0.623,0.3043,-2.00079,0.861598,-1.13919,10.7,5.2,61
"PF/C","Jr","6-7",29.4667,11.9333,9.2333,1.1667,1.3667,1.1,0.559,0.368,0.699,1.66669999971429,0.700006,55.8,58.3,19.6,108.5,100.426,0.7185,0.3103,-0.528415,-0.1925,-0.720915,34.4,4.7,72
"Wing G","Jr","6-7",29.0882,11.8824,4,1.7059,1.1765,0.2941,0.46,0.329,0.775,2.58820017706694,0.65910667,47.8,51.39,23.7,94.2,109.21,0.4912,0.4409,-1.66551,-0.76667,-2.43218,24.8,3.3,65
"Stretch 4","So","6-9",18.1935,6,3.5484,0.4194,0.4516,0.8387,0.584,0.22,0.653,0.87099998087289,0.48151551,48.3,51.09,16.4,100.1,106.059,0.6885,0.3571,-2.13047,0.179898,-1.95057,33.1,3.2,62
"Wing G","Jr","6-6",17.4848,4.3636,2.1818,1.1818,0.697,0.2121,0.479,0.424,0.697,0.787899963319116,1.49993661,56.5,58.69,12.6,115.5,105.865,0.5556,0.25,0.964349,2.55825,3.5226,30.8,4.2,72
"Wing G","Jr","6-3",29,15.0938,3.875,1.875,0.6562,0.1875,0.442,0.349,0.79,1.1874999988125,1.57894737,48.8,51.71,24.5,106.9,110.541,0.4805,0.4135,1.7417,-2.42571,-0.684012,19.5,3.3,68
"Combo G","Sr","6-2",28.7241,10.1379,2.3103,1.8276,1.3448,0.1724,0.455,0.354,0.827,1.86210000192262,0.98147253,48.9,52.7,19.1,96.9,114.47,0.5641,0.4048,-2.04193,-2.21696,-4.25889,23.4,3.4,62
"Scoring PG","So","6-0",32,15.5714,2.8,3.5429,1.4,0.0286,0.497,0.369,0.845,2.51430005048897,1.40909992,51.1,56.93,26.3,109,104.312,0.5462,0.4593,2.53251,0.717023,3.24953,38.3,2.4,84
"Wing G","Jr","6-4",15.9,3.95,2,0.45,0.25,0,0.353,0.382,0.833,0.649999992777778,0.6923077,50,55.42,12.4,101.4,106.435,0.375,0.3333,-4.85436,-1.72932,-6.58368,35.3,5,47
"Wing G","Jr","6-5",23.0938,6.75,1.9688,0.9688,0.5312,0.0938,0.463,0.373,0.857,0.62499999596795,1.55008001,51.2,53.48,13.8,104.4,108.883,0.6667,0.3898,-2.98034,-1.41233,-4.39267,12.9,3.8,57
"C","Sr","6-8",14.7812,6.4375,2.3125,0.0938,0.2812,0.2188,0.586,0,0.711,1,0.0938,58.2,60.04,19.6,105.5,106.259,0.6667,0.5132,-3.22138,-1.04516,-4.26654,26,7.7,52
"Wing G","So","6-4",32.1875,16.6875,5,2.125,1.8438,0.5938,0.462,0.373,0.758,2.81249998345588,0.75555556,49.1,52.97,26.1,101.6,105.339,0.5101,0.3738,0.935668,-0.65677,0.278898,30.6,3.3,72
"Wing G","Jr","6-5",13.36,3.36,0.92,0.08,0.16,0,0.333,0.324,0.818,0.200000005,0.39999999,46.9,49.28,13.8,96.4,105.809,0.75,0,-2.38609,-1.0577,-3.44378,13.8,2.8,58
"Wing G","So","6-5",7.1,2.2,0.8,0.3,0.2,0.1,0.333,0.333,1,0.199999994666667,1.50000004,46.7,50.16,16.2,102.4,108.303,1,0,-1.77911,-0.635444,-2.41456,13.3,3.1,52
"Scoring PG","Jr","6-0",35.5455,10.4242,4.3333,6.303,1.6061,0.0606,0.473,0.339,0.904,2.63639999718416,2.39076013,48.9,54.1,20.5,107.5,103.84,0.5469,0.4186,-0.392805,1.23639,0.84358,26.6,2.4,80
"Stretch 4","Sr","6-5",27,14,8,1.5,0.5,0.5,0.7,0.8,0.667,3,0.5,86.7,85.24,21.5,123.7,102.445,0.8,0.6,7.89695,2.82734,10.7243,20,3,73
"Stretch 4","Jr","6-8",18.7143,8.0357,3.3929,0.75,0.3571,0.2857,0.592,0.343,0.75,0.928600018839437,0.80766744,55.6,60.88,21.9,113.7,96.2148,0.6,0.5455,-0.0138657,0.333432,0.319566,61.5,5.2,64
"PF/C","Jr","6-10",27.8065,10.4839,7.0968,1.3226,0.1935,0.7742,0.512,0.333,0.681,0.999999992439135,1.32260001,51,53.42,21,107.9,114.612,0.5891,0.3784,0.598963,-1.94338,-1.34441,27.8,2.3,69
"Combo G","So","6-4",12.0882,1.3824,1.1176,0.7941,0.2059,0.0588,0.37,0.227,0.833,0.705900022795744,1.12494684,35.7,38.57,10.1,73.3,103.581,0.4737,0.125,-5.59758,0.638263,-4.95932,12.2,3.7,51
"Combo G","Jr","6-4",21.9412,10.5882,2.5882,1.5882,0.4706,0.3529,0.543,0.396,0.738,0.94120003597207,1.68742025,56.5,59.46,20.8,117.8,110.787,0.5714,0.4762,2.21533,-1.85642,0.358913,34.1,3.5,66
"Wing G","Jr","6-3",35.2727,19.7576,8.6667,3.6364,1.7576,0.9697,0.563,0.377,0.747,2.69700004061372,1.34831292,56.4,59.75,27.8,112.7,93.4541,0.6519,0.2881,7.03672,4.36135,11.3981,37.6,2.2,90
"C","Jr","6-10",7.375,2.125,1.8333,0.25,0.2083,0.375,0.514,0,0.417,0.333299994445889,0.75007502,51.4,48.94,18.2,96,103.555,0.6071,0.1429,-1.99841,0.957319,-1.04109,102.9,5.4,70
"Wing G","Jr","6-4",32,15.8788,3.5758,1.0909,1.0606,0.1515,0.508,0.297,0.829,1.27270001762927,0.85715407,48.2,54,23,112.9,103.287,0.6602,0.3926,3.45532,0.620388,4.0757,36.8,2.2,81
"Combo G","Jr","6-2",22.8529,5.9412,1.7941,1.8824,0.4412,0.0588,0.4,0.319,0.714,0.617600012388747,3.0479274,43.7,47.14,15.5,106.3,108.532,0.5098,0.28,-0.647206,0.453401,-0.193805,25.7,2.4,72
"Wing G","Jr","6-4",31.7742,15.5484,4.5161,1.1613,1.3871,0.2258,0.49,0.34,0.721,2.3226,0.5,49.3,53.8,24.8,98.2,103.31,0.588,0.2708,0.470908,-0.254055,0.216853,42.9,2.6,72
"Wing F","Jr","6-7",35.4375,15.375,7.7188,1.5938,0.875,0.125,0.491,0.293,0.672,2.00000007529176,0.79689997,47.9,51.43,23,102.5,108.542,0.5556,0.3596,0.631072,-2.1651,-1.53403,39,1.9,69
"Pure PG","Jr","6-0",17.375,5,0.75,2.125,0.875,0,0.457,0.3,0.647,1.81250000479779,1.17241379,45.4,47.58,21.7,87,110.535,0.5758,0.1538,-4.44962,-2.38939,-6.83901,22.4,5,52
"C","Jr","7-1",10.2727,1.7273,2.3182,0.0909,0.2273,0.3636,0.696,0.5,0.6,0.318200000357056,0.28566939,70,69.41,8.6,123.8,101.315,0.7895,0.25,0.799572,2.01386,2.81343,20,3.5,68
"Pure PG","So","6-0",3.375,0.25,0.125,0.375,0.25,0,0,0,1,0.25,1.5,0,25.32,12.9,60.1,101.258,0,0,-8.62652,2.32203,-6.30449,66.7,3,37
"Wing F","Jr","6-7",34.5758,11.5455,6.1212,1.6061,1.0606,0.0909,0.378,0.382,0.868,1.06060006335997,1.51433142,46.9,52.39,17.9,111.6,102.677,0.5,0.3571,2.818,1.41009,4.22809,29.5,2.8,80
"Wing F","So","6-7",22.6562,7.6562,4.5312,0.5625,0.7188,0.25,0.468,0.33,0.837,1.03120004351389,0.54548097,48.1,52.07,19.4,104.1,101.799,0.5439,0.3846,1.22815,1.57683,2.80498,23.1,2.5,72
"C","Sr","6-8",21.3824,12.5882,5.5882,0.6765,0.5588,0.3824,0.541,0,0.611,1.67649990238384,0.40351926,53.9,56.65,32.8,109.9,111.78,0.5783,0.3158,1.49625,-3.95564,-2.4594,75.5,5.1,67
"Wing G","Sr","6-7",31.25,12.2812,4.5312,3.0938,0.4688,0.1562,0.446,0.386,0.683,2.12499995964712,1.45590591,46.6,50.87,23.2,100.8,116.879,0.5043,0.3971,-1.03722,-2.67781,-3.71503,42.7,2.4,65
"Scoring PG","Sr","6-2",23.7714,6.6286,1.7714,2.6571,1.6,0.0571,0.41,0.333,0.702,1.34290005541516,1.97862826,45.1,48.32,17,101.5,100.865,0.4576,0.3621,-0.561575,3.35435,2.79277,26.8,2.2,80
"Scoring PG","Jr","6-1",35.4062,19.5938,4.1875,4.875,1.9375,0.25,0.497,0.301,0.779,2.81250000540865,1.73333333,48.2,53.19,28.3,109.2,107.505,0.5027,0.4894,3.24377,-0.885864,2.3579,36.6,2.6,76
"Combo G","Jr","6-1",35.8788,14.9697,5.303,4.1515,1.5152,0.3636,0.416,0.324,0.763,2.2423998054149,1.85136477,43.9,48.38,25.7,100.2,108.046,0.4167,0.4159,0.699649,-0.00715251,0.692497,29.8,3,75
"Wing G","Jr","6-5",20.4375,6.5,1.2812,0.7188,0.375,0.0625,0.364,0.438,0.696,1.06249999538076,0.67651765,53.7,56.02,16.4,104.3,104.537,0.4545,0.3182,-1.62108,-0.467816,-2.08889,28.4,3.6,59
"Stretch 4","So","6-7",10.2,2.9333,2.4667,0.0667,0.3333,0.2,0.615,0.36,1,0.200000011994004,0.33349998,56.6,57.18,13.8,107.7,94.3214,0.75,0.4,-0.0557052,0.826148,0.770443,2.6,2.9,61
"Wing G","Jr","5-11",17.125,6,1.7083,0.5833,0.6667,0,0.437,0.365,0.833,0.666700011192056,0.87490624,48.4,52.46,17.6,103,109.798,0.575,0.2581,-1.46931,-1.52555,-2.99486,24.4,3.2,54
"Wing G","Jr","6-4",19.5333,7.9333,3.9667,0.9,0.7333,0.2,0.475,0.373,0.703,1.29999998555556,0.6923077,51.1,54.51,22.2,104.2,106.365,0.4933,0.4231,0.894886,0.0126709,0.907557,36.4,3.9,66
"Scoring PG","Jr","6-3",33.4074,20,3.6667,4.4815,0.7778,0.5185,0.561,0.359,0.79,2.70369997797584,1.65754338,55.5,59.16,31.6,112.7,108.579,0.6176,0.4727,4.2703,-0.325265,3.94503,32,2.6,80
"Wing G","Jr","6-6",31.7273,14.0303,3.0303,0.7273,0.5758,0.1212,0.558,0.354,0.902,0.848500023338709,0.85715967,53.5,57.91,18.6,114.9,114.708,0.8333,0.4516,1.85998,-2.18364,-0.32366,25,2.8,66
"Stretch 4","Jr","6-8",27.6486,10.8378,3.9189,0.5946,0.8378,0.9189,0.5,0.355,0.681,1.1892,0.5,51.9,53.64,19.3,101.9,101.775,0.5529,0.4151,1.26953,1.29171,2.56124,20.2,2.7,83
"C","So","6-9",24.7667,7.7333,4.9333,0.6333,1.0333,1.7,0.679,0,0.545,1.43330001565246,0.44184748,67.9,65.92,15.1,113.7,103.049,0.7204,0.5854,-1.34547,1.41505,0.0695838,49.3,4.9,73
"PF/C","Jr","6-7",33.4412,12.5882,4.5588,3.0588,1.1471,0.5882,0.604,0,0.61,1.76470006897896,1.73332571,59.8,60.51,18.9,113.2,102.909,0.7066,0.4628,2.24286,2.69475,4.93761,40.5,2.9,86
"Wing G","Jr","6-3",26.4848,8.8182,4.1212,0.8485,1.8788,0.1515,0.631,0.265,0.766,0.787899958935416,1.07691337,55.8,58.81,15.7,117.6,98.594,0.7414,0.2424,1.88357,3.53238,5.41595,29.5,3,84
"Stretch 4","Jr","6-7",30.4706,16.3529,6.5882,2.7059,0.7059,0.4118,0.551,0.379,0.911,1.32350005902657,2.04450312,56.2,60.8,22.6,121.6,108.845,0.6212,0.5,7.1097,0.215007,7.32471,27.7,3.3,87
"Combo G","Jr","6-3",18.6667,9.2222,2.4444,1.6667,1.1111,0.1111,0.467,0.429,0.769,1.6667,1,56.2,58.31,24,104.2,105.07,0.5,0.4444,2.89139,0.446811,3.3382,20,3.3,63
"Wing G","Jr","6-6",11.0417,2.0417,1.375,0.5417,0.2917,0.0833,0.5,0.167,0.429,0.583299986779108,0.92868166,46.1,45.86,14.1,92.9,111.118,0.4828,0.6667,-4.24534,-0.251539,-4.49688,55.3,4.8,54
"Wing G","Jr","6-7",33.1724,13.6552,6.1034,1.6552,1.3448,0.3793,0.537,0.357,0.795,1.8966000076084,0.8727196,53.7,56.62,20.5,109.2,104.973,0.7,0.3604,1.84783,0.875579,2.72341,23.2,1.5,81
"Wing F","Jr","6-7",33.5,15.2143,8.5714,1.4286,1,0.2857,0.529,0.189,0.655,2.3571001049162,0.60608372,45.4,49.79,26.7,96.7,98.4681,0.5876,0.2917,-0.22372,0.987629,0.763909,48.3,1.7,82
"Wing F","Jr","6-6",25.5588,5.0294,7.2353,1.2353,0.6471,0.3235,0.45,0.269,0.63,1.26470011685346,0.97675329,44.2,47.33,14.7,96,102.797,0.5143,0.3729,-1.728,0.331477,-1.39652,34.8,2.7,67
"Wing G","Jr","6-2",4.0476,0.5714,0.5238,0.0476,0.0952,0.0476,0.5,0.5,0,0.0952,0.5,60,60,7.3,102.9,101.933,0.75,0,-3.3956,0.845911,-2.54969,0,3,47
"PF/C","Jr","7-1",18.3636,6.1818,4.6667,1.7576,0.4242,0.6061,0.542,0.286,0.516,1.51520006619431,1.15997883,53.8,53.84,20.7,100.8,100.958,0.66,0.3208,-1.24339,2.91647,1.67309,38.8,5.5,75
"PF/C","Jr","6-9",28.7857,11.9286,6.1429,1.0357,0.8929,0.8929,0.467,0.418,0.736,2.00000007724245,0.51784998,50.2,54.2,21.6,100.7,113.147,0.5876,0.35,-1.77711,-1.33737,-3.11448,36.1,4,65
"Combo G","Jr","6-3",32.2581,14.4839,3.3871,2.9355,1.1935,0.1613,0.539,0.407,0.692,1.87100011581653,1.56894699,57.6,58.84,22.7,113.5,102.621,0.5795,0.4872,3.82922,0.888924,4.71815,18.6,1.7,83
"Scoring PG","Jr","6-2",35.0811,19.6757,5.8378,4.8919,1.6216,0.0541,0.497,0.434,0.876,2.21620008328589,2.2073368,55.2,60.63,26.4,122.6,101.245,0.5517,0.4094,6.54275,2.64158,9.18433,36.3,2.8,90
"Stretch 4","So","6-5",9.9444,2.1111,1.6111,0.7222,0.2222,0.1111,0.333,0.28,0.818,0.777800048673353,0.92851627,39.2,45,16.2,86,103.91,0.75,0.125,-2.41173,0.723439,-1.68829,29.7,4,64
"Wing F","So","6-5",14.3478,4.4348,1.6522,0.2609,0.2174,0.0435,0.407,0.272,0.714,0.739099996036792,0.35299689,40.8,41.69,20.3,79.1,113.336,0.5833,0.2667,-6.19428,-4.83797,-11.0322,5.9,3.9,47
"PF/C","Jr","6-8",26.1818,12.0606,4.6667,0.7879,0.5455,1.7273,0.663,0.391,0.831,0.969700018948472,0.81251932,61.3,63.71,18.8,124.1,102.08,0.7237,0.375,3.93465,0.643045,4.5777,21.8,3.7,79
"Stretch 4","Sr","6-9",34.4286,13.8,7.0571,1.2857,1.5429,1.4571,0.58,0.347,0.8,1.71430008408964,0.74998538,55.7,61.16,19.9,119.3,97.1383,0.6637,0.4605,3.40909,2.48559,5.89468,50.2,3.3,84
"PF/C","Jr","6-10",30.8125,12.9062,8.4062,1.0312,0.5938,0.8125,0.578,0.429,0.672,1.68749992124619,0.61108151,58.3,60.62,20.2,114.6,109.929,0.7185,0.4215,2.64045,-0.0632256,2.57722,48.4,3,79
"C","Jr","6-11",24.7222,11.4167,7.2778,0.9722,0.7222,1.8333,0.53,0.2,0.626,1.0000000205719,0.97219998,51.9,53.65,22.6,112.8,92.5061,0.6302,0.3798,2.52817,3.45032,5.97849,29.5,3.5,90
"Wing G","So","6-5",25,6.8438,3.5625,1.375,0.4062,0.1875,0.419,0.314,0.814,0.906199990323761,1.51732511,43.7,47.62,15.6,103.5,108.926,0.3269,0.4805,-2.26135,-1.10557,-3.36692,21.6,3,62
