Player,School,Rating,School_key,Conf,conf_tier,penalty_conf,Rating_add,conf_mult,gap,Rating_conf
Kymany Houinsou,Loyola Chicago,79.4,loyola chicago,A10,mid,-0.4,79,0.9,0,90
Justin Mullins,Northwestern,79.4,northwestern,Big Ten,tier1,0.8,80.2,1,0,90
Jaylen Peterson,Presbyterian,79.4,presbyterian,Big South,low,-2,77.4,0.7,0,90
Jalen Bolden,Louisiana Monroe,79.4,louisiana monroe,Sun Belt,mid,-0.4,79,0.9,0,90
Corey Washington,Wichita St.,79.4,wichita st,AAC,mid,-0.4,79,0.9,0,90
Latrell Davis,San Jose St.,79.4,san jose st,Mountain West,tier1,0.8,80.2,1,0,90
Layden Blocker,DePaul,79.4,depaul,Big East,tier1,0.8,80.2,1,0,90
Karon Boyd,East Tennessee St.,79.4,east tennessee st,SoCon,low,-2,77.4,0.7,0,90
Kameron Hobbs,Morgan St.,79.4,morgan st,MEAC,low,-2,77.4,0.7,0,90
Quel'Ron House,Jacksonville St.,79.4,jacksonville st,CUSA,mid,-0.4,79,0.9,0,90
Somto Cyril,Georgia,79.4,georgia,SEC,tier1,0.8,80.2,1,0,90
Jeff Planutis,Mercyhurst,79.4,mercyhurst,NEC,low,-2,77.4,0.7,0,90
Carter Gilmore,Wisconsin,79.3,wisconsin,Big Ten,tier1,0.8,80.1,1,0,90
Rob Brown III,Nicholls St.,79.3,nicholls st,Southland,low,-2,77.3,0.7,0,90
Kolby Granger,Texas Southern,79.3,texas southern,SWAC,low,-2,77.3,0.7,0,90
Dylan Hayman,Incarnate Word,79.3,incarnate word,Southland,low,-2,77.3,0.7,0,90
Efrem Johnson,UAB,79.3,uab,AAC,mid,-0.4,78.89999999999999,0.9,0,90
Daniel Hankins-Sanford,Massachusetts,79.3,massachusetts,A10,mid,-0.4,78.89999999999999,0.9,0,90
Bernard Pelote,Western Carolina,79.3,western carolina,SoCon,low,-2,77.3,0.7,0,90
Jeremy Lorenz,Wofford,79.3,wofford,SoCon,low,-2,77.3,0.7,0,90
Drew Fielder,Georgetown,79.3,georgetown,Big East,tier1,0.8,80.1,1,0,90
Donovan Draper,Navy,79.3,navy,Patriot,low,-2,77.3,0.7,0,90
Amani Hansberry,West Virginia,79.3,west virginia,B12,tier1,0.8,80.1,1,0,90
Torey Alston,Middle Tennessee,79.3,middle tennessee,CUSA,mid,-0.4,78.89999999999999,0.9,0,90
Gavin Doty,Siena,79.3,siena,MAAC,low,-2,77.3,0.7,0,90
Leonardo Bettiol,Abilene Christian,79.2,abilene christian,WAC,mid,-0.4,78.8,0.9,0,90
Chris Ashby,Queens,79.2,queens,ASUN,low,-2,77.2,0.7,0,90
LJ Thomas,Austin Peay,79.2,austin peay,ASUN,low,-2,77.2,0.7,0,90
Christian Fermin,VCU,79.2,vcu,A10,mid,-0.4,78.8,0.9,0,90
Dantwan Grimes,Tarleton St.,79.2,tarleton st,WAC,mid,-0.4,78.8,0.9,0,90
Nakyel Shelton,Eastern Illinois,79.2,eastern illinois,OVC,low,-2,77.2,0.7,0,90
Amar Kuljuhovic,North Dakota,79.2,north dakota,Summit League,low,-2,77.2,0.7,0,90
Nick Dorn,Elon,79.2,elon,CAA,low,-2,77.2,0.7,0,90
Bradley Douglas,Georgia Southern,79.2,georgia southern,Sun Belt,mid,-0.4,78.8,0.9,0,90
Elijah Price,Fresno St.,79.2,fresno st,Mountain West,tier1,0.8,80,1,0,90
Karter Knox,Arkansas,79.2,arkansas,SEC,tier1,0.8,80,1,0,90
Isaac Asuma,Minnesota,79.2,minnesota,Big Ten,tier1,0.8,80,1,0,90
Christian Henry,Eastern Michigan,79.2,eastern michigan,MAC,low,-2,77.2,0.7,0,90
Romelle Mansel,Jackson St.,79.1,jackson st,SWAC,low,-2,77.1,0.7,0,90
Paris Dawson,Seattle,79.1,seattle,WAC,mid,-0.4,78.69999999999999,0.9,0,90
Johnathan Massie,North Texas,79.1,north texas,AAC,mid,-0.4,78.69999999999999,0.9,0,90
Aboubacar Traore,Louisville,79.1,louisville,ACC,tier1,0.8,79.89999999999999,1,0,90
Ante Beljan,Little Rock,79.1,little rock,OVC,low,-2,77.1,0.7,0,90
Federiko Federiko,Texas Tech,79.1,texas tech,B12,tier1,0.8,79.89999999999999,1,0,90
Jamar Franklin,Jacksonville St.,79.1,jacksonville st,CUSA,mid,-0.4,78.69999999999999,0.9,0,90
Kaseem Watson,Delaware St.,79.1,delaware st,MEAC,low,-2,77.1,0.7,0,90
Sean Moore,UNC Wilmington,79.1,unc wilmington,CAA,low,-2,77.1,0.7,0,90
Dillon Bailey,Wofford,79.1,wofford,SoCon,low,-2,77.1,0.7,0,90
Brigham Rogers,Belmont,79.1,belmont,MVC,mid,-0.4,78.69999999999999,0.9,0,90
DeAndre Craig,Denver,79.1,denver,Summit League,low,-2,77.1,0.7,0,90
Caleb Zurliene,Campbell,79.1,campbell,CAA,low,-2,77.1,0.7,0,90
Alejandro Vasquez,UAB,79,uab,AAC,mid,-0.4,78.6,0.9,0,90
Collin Holloway,Samford,79,samford,SoCon,low,-2,77,0.7,0,90
Noah Farrakhan,Hampton,79,hampton,CAA,low,-2,77,0.7,0,90
Vukasin Masic,Portland,79,portland,WCC,mid,-0.4,78.6,0.9,0,90
Chaunce Jenkins,Seton Hall,79,seton hall,Big East,tier1,0.8,79.8,1,0,90
Te'Jon Sawyer,Montana,79,montana,Big Sky,low,-2,77,0.7,0,90
Josh Banks,UNC Asheville,79,unc asheville,Big South,low,-2,77,0.7,0,90
Jayden Nunn,Baylor,79,baylor,B12,tier1,0.8,79.8,1,0,90
Derek Simpson,Saint Joseph's,79,saint joseph s,A10,mid,-0.4,78.6,0.9,0,90
Faizon Fields,Milwaukee,79,milwaukee,Horizon,low,-2,77,0.7,0,90
Elijah Fisher,Pacific,79,pacific,WCC,mid,-0.4,78.6,0.9,0,90
Kebba Njie,Notre Dame,79,notre dame,ACC,tier1,0.8,79.8,1,0,90
Jamarques Lawrence,Rhode Island,79,rhode island,A10,mid,-0.4,78.6,0.9,0,90
Jaden Daughtry,Indiana St.,79,indiana st,MVC,mid,-0.4,78.6,0.9,0,90
Garwey Dual,Seton Hall,79,seton hall,Big East,tier1,0.8,79.8,1,0,90
Po'Boigh King,North Carolina Central,79,north carolina central,MEAC,low,-2,77,0.7,0,90
Elijah Lewis,Marist,79,marist,MAAC,low,-2,77,0.7,0,90
JoJo Moore,Oral Roberts,79,oral roberts,Summit League,low,-2,77,0.7,0,90
Mylyjael Poteat,Virginia Tech,78.9,virginia tech,ACC,tier1,0.8,79.7,1,0,90
Owen Dease,Texas A&M Corpus Chris,78.9,texas a m corpus chris,Southland,low,-2,76.9,0.7,0,90
Evan Nelson,Harvard,78.9,harvard,Ivy League,low,-2,76.9,0.7,0,90
Treysen Eaglestaff,North Dakota,78.9,north dakota,Summit League,low,-2,76.9,0.7,0,90
RJ Godfrey,Georgia,78.9,georgia,SEC,tier1,0.8,79.7,1,0,90
Keon Thompson,Stephen F. Austin,78.9,stephen f austin,Southland,low,-2,76.9,0.7,0,90
Jerone Morton,Morehead St.,78.9,morehead st,OVC,low,-2,76.9,0.7,0,90
Brit Harris,USC Upstate,78.9,usc upstate,Big South,low,-2,76.9,0.7,0,90
Dovydas Butka,Pepperdine,78.9,pepperdine,WCC,mid,-0.4,78.5,0.9,0,90
Zach Laput,Davidson,78.9,davidson,A10,mid,-0.4,78.5,0.9,0,90
Michael Christmas,Longwood,78.8,longwood,Big South,low,-2,76.8,0.7,0,90
Nick Fiorillo,Vermont,78.8,vermont,AEC,low,-2,76.8,0.7,0,90
Tariq Ingraham,Rider,78.8,rider,MAAC,low,-2,76.8,0.7,0,90
Xavier Bell,Wichita St.,78.8,wichita st,AAC,mid,-0.4,78.39999999999999,0.9,0,90
Cam Hayes,East Carolina,78.8,east carolina,AAC,mid,-0.4,78.39999999999999,0.9,0,90
Andre Curbelo,Southern Miss,78.8,southern miss,Sun Belt,mid,-0.4,78.39999999999999,0.9,0,90
O'Mar Stanley,Boise St.,78.8,boise st,Mountain West,tier1,0.8,79.6,1,0,90
Jayland Randall,Southern Indiana,78.8,southern indiana,OVC,low,-2,76.8,0.7,0,90
Tyler Perkins,Villanova,78.8,villanova,Big East,tier1,0.8,79.6,1,0,90
Caleb Foster,Duke,78.8,duke,ACC,tier1,0.8,79.6,1,0,90
Nicholas Shogbonyo,Denver,78.8,denver,Summit League,low,-2,76.8,0.7,0,90
Taj DeGourville,San Diego St.,78.8,san diego st,Mountain West,tier1,0.8,79.6,1,0,90
CJ Luster,Stony Brook,78.8,stony brook,CAA,low,-2,76.8,0.7,0,90
Troy D'Amico,DePaul,78.7,depaul,Big East,tier1,0.8,79.5,1,0,90
Connor Hickman,Cincinnati,78.7,cincinnati,B12,tier1,0.8,79.5,1,0,90
Josiah Harris,Radford,78.7,radford,Big South,low,-2,76.7,0.7,0,90
Kolton Mitchell,Idaho,78.7,idaho,Big Sky,low,-2,76.7,0.7,0,90
Jake DiMichele,Duquesne,78.7,duquesne,A10,mid,-0.4,78.3,0.9,0,90
Derrion Reid,Alabama,78.7,alabama,SEC,tier1,0.8,79.5,1,0,90
Tate McCubbin,Austin Peay,78.7,austin peay,ASUN,low,-2,76.7,0.7,0,90
Hermann Koffi,Stonehill,78.7,stonehill,NEC,low,-2,76.7,0.7,0,90
Andre Henry,UC Irvine,78.6,uc irvine,Big West,low,-2,76.6,0.7,0,90
Tahj Staveskie,Cleveland St.,78.6,cleveland st,Horizon,low,-2,76.6,0.7,0,90
Matt Knowling,USC,78.6,usc,Big Ten,tier1,0.8,79.39999999999999,1,0,90
Julian Mackey,Houston Christian,78.6,houston christian,Southland,low,-2,76.6,0.7,0,90
RJ Melendez,Mississippi St.,78.6,mississippi st,SEC,tier1,0.8,79.39999999999999,1,0,90
Michael Duax,Florida Gulf Coast,78.6,florida gulf coast,ASUN,low,-2,76.6,0.7,0,90
Ethan Meuser,Stonehill,78.6,stonehill,NEC,low,-2,76.6,0.7,0,90
Josiah Harris,Akron,78.6,akron,MAC,low,-2,76.6,0.7,0,90
Dominique Ford,Southern Utah,78.6,southern utah,WAC,mid,-0.4,78.19999999999999,0.9,0,90
Filip Borovicanin,New Mexico,78.6,new mexico,Mountain West,tier1,0.8,79.39999999999999,1,0,90
Isaiah Moses,UC Riverside,78.6,uc riverside,Big West,low,-2,76.6,0.7,0,90
Mason Williams,Eastern Washington,78.6,eastern washington,Big Sky,low,-2,76.6,0.7,0,90
Emmett Marquardt,Eastern Washington,78.6,eastern washington,Big Sky,low,-2,76.6,0.7,0,90
Isaac Williams,Texas A&M Corpus Chris,78.6,texas a m corpus chris,Southland,low,-2,76.6,0.7,0,90
Anthony Selden,Gardner Webb,78.5,gardner webb,Big South,low,-2,76.5,0.7,0,90
Joe Ostrowsky,Central Connecticut,78.5,central connecticut,NEC,low,-2,76.5,0.7,0,90
Tyler Whitney-Sidney,Lehigh,78.5,lehigh,Patriot,low,-2,76.5,0.7,0,90
TJ Wainwright,Long Beach St.,78.5,long beach st,Big West,low,-2,76.5,0.7,0,90
Jaden Daughtry,Marist,78.5,marist,MAAC,low,-2,76.5,0.7,0,90
Mahmoud Fofana,Cal St. Northridge,78.5,cal st northridge,Big West,low,-2,76.5,0.7,0,90
Jayden Ndjigue,Massachusetts,78.5,massachusetts,A10,mid,-0.4,78.1,0.9,0,90
Amahrie Simpkins,Morgan St.,78.5,morgan st,MEAC,low,-2,76.5,0.7,0,90
Bubu Benjamin,Tarleton St.,78.5,tarleton st,WAC,mid,-0.4,78.1,0.9,0,90
Tana Kopa,Canisius,78.5,canisius,MAAC,low,-2,76.5,0.7,0,90
Mekhi Lowery,Towson,78.5,towson,CAA,low,-2,76.5,0.7,0,90
Carmelo Pacheco,Mount St. Mary's,78.5,mount st mary s,MAAC,low,-2,76.5,0.7,0,90
Matt Becht,Merrimack,78.5,merrimack,MAAC,low,-2,76.5,0.7,0,90
Bismark Nsiah,Fairleigh Dickinson,78.5,fairleigh dickinson,NEC,low,-2,76.5,0.7,0,90
Vyctorius Miller,LSU,78.5,lsu,SEC,tier1,0.8,79.3,1,0,90
Luke Bamgboye,VCU,78.5,vcu,A10,mid,-0.4,78.1,0.9,0,90
Toneari Lane,Georgia St.,78.4,georgia st,Sun Belt,mid,-0.4,78,0.9,0,90
Shannon Grant,Jackson St.,78.4,jackson st,SWAC,low,-2,76.4,0.7,0,90
Jared Billups,George Mason,78.4,george mason,A10,mid,-0.4,78,0.9,0,90
Glenn Taylor Jr.,Oklahoma,78.4,oklahoma,SEC,tier1,0.8,79.2,1,0,90
Blair Thompson,Columbia,78.4,columbia,Ivy League,low,-2,76.4,0.7,0,90
Christian Cook,New Mexico St.,78.4,new mexico st,CUSA,mid,-0.4,78,0.9,0,90
Corey Hadnot II,Purdue Fort Wayne,78.4,purdue fort wayne,Horizon,low,-2,76.4,0.7,0,90
Malachi Brown,Georgia St.,78.4,georgia st,Sun Belt,mid,-0.4,78,0.9,0,90
Trent Johnson,Houston Christian,78.4,houston christian,Southland,low,-2,76.4,0.7,0,90
CJ Hines,Alabama St.,78.4,alabama st,SWAC,low,-2,76.4,0.7,0,90
Joe Sayler,South Dakota St.,78.4,south dakota st,Summit League,low,-2,76.4,0.7,0,90
Javon Jackson,Illinois Chicago,78.4,illinois chicago,MVC,mid,-0.4,78,0.9,0,90
Tai'Reon Joseph,UTSA,78.3,utsa,AAC,mid,-0.4,77.89999999999999,0.9,0,90
Justin Neely,Albany,78.3,albany,AEC,low,-2,76.3,0.7,0,90
Amar’e Marshall,Albany,78.3,albany,AEC,low,-2,76.3,0.7,0,90
Patrick McMahon,Montana St.,78.3,montana st,Big Sky,low,-2,76.3,0.7,0,90
Cam Morris III,UMass Lowell,78.3,umass lowell,AEC,low,-2,76.3,0.7,0,90
Ugonna Onyenso,Kansas St.,78.3,kansas st,B12,tier1,0.8,79.1,1,0,90
Cliff Davis,UT Rio Grande Valley,78.3,ut rio grande valley,Southland,low,-2,76.3,0.7,0,90
Julius Thedford,Western Kentucky,78.3,western kentucky,CUSA,mid,-0.4,77.89999999999999,0.9,0,90
Jeremy Elyzee,Southeastern Louisiana,78.3,southeastern louisiana,Southland,low,-2,76.3,0.7,0,90
Jadis Jones,Lindenwood,78.3,lindenwood,OVC,low,-2,76.3,0.7,0,90
Kanon Catchings,BYU,78.3,byu,B12,tier1,0.8,79.1,1,0,90
Morgan Safford,Kent St.,78.2,kent st,MAC,low,-2,76.2,0.7,0,90
Kentrell Garnett,Louisiana,78.2,louisiana,Sun Belt,mid,-0.4,77.8,0.9,0,90
Terence Harcum,Murray St.,78.2,murray st,MVC,mid,-0.4,77.8,0.9,0,90
Dusan Neskovic,Richmond,78.2,richmond,A10,mid,-0.4,77.8,0.9,0,90
Quandre Bullock,South Dakota,78.2,south dakota,Summit League,low,-2,76.2,0.7,0,90
Jason Drake,Drexel,78.2,drexel,CAA,low,-2,76.2,0.7,0,90
Mike Walz,Richmond,78.2,richmond,A10,mid,-0.4,77.8,0.9,0,90
Rahmir Barno,Florida Gulf Coast,78.2,florida gulf coast,ASUN,low,-2,76.2,0.7,0,90
Khaden Bennett,Quinnipiac,78.2,quinnipiac,MAAC,low,-2,76.2,0.7,0,90
Jaden Winston,Manhattan,78.2,manhattan,MAAC,low,-2,76.2,0.7,0,90
Mac Riniker,Cal Poly,78.2,cal poly,Big West,low,-2,76.2,0.7,0,90
Kjay Bradley Jr.,San Diego,78.2,san diego,WCC,mid,-0.4,77.8,0.9,0,90
Jackson Sivills,Wofford,78.1,wofford,SoCon,low,-2,76.1,0.7,0,90
Jaylin Sellers,UCF,78.1,ucf,B12,tier1,0.8,78.89999999999999,1,0,90
Dominique Daniels Jr.,Cal Baptist,78.1,cal baptist,WAC,mid,-0.4,77.69999999999999,0.9,0,90
Chandler Cuthrell,Purdue Fort Wayne,78.1,purdue fort wayne,Horizon,low,-2,76.1,0.7,0,90
Tyson Brown,Georgia Southern,78.1,georgia southern,Sun Belt,mid,-0.4,77.69999999999999,0.9,0,90
Jayvon Maughmer,Liberty,78.1,liberty,CUSA,mid,-0.4,77.69999999999999,0.9,0,90
Nick Anderson,Prairie View A&M,78.1,prairie view a m,SWAC,low,-2,76.1,0.7,0,90
Ian Jackson,North Carolina,78.1,north carolina,ACC,tier1,0.8,78.89999999999999,1,0,90
Peter Bandelj,Cal Poly,78.1,cal poly,Big West,low,-2,76.1,0.7,0,90
Gerald Drumgoole Jr.,George Washington,78,george washington,A10,mid,-0.4,77.6,0.9,0,90
DeAntoni Gordon,Southern Miss,78,southern miss,Sun Belt,mid,-0.4,77.6,0.9,0,90
Terell Strickland,LIU,78,liu,NEC,low,-2,76,0.7,0,90
Jamaine Mann,Gardner Webb,78,gardner webb,Big South,low,-2,76,0.7,0,90
Malik Henry,UNC Greensboro,78,unc greensboro,SoCon,low,-2,76,0.7,0,90
A.J. Staton-McCray,Miami FL,78,miami fl,ACC,tier1,0.8,78.8,1,0,90
Rongie Gordon,Kennesaw St.,78,kennesaw st,CUSA,mid,-0.4,77.6,0.9,0,90
Brian Myles,Nicholls St.,78,nicholls st,Southland,low,-2,76,0.7,0,90
Carson Cooper,Michigan St.,78,michigan st,Big Ten,tier1,0.8,78.8,1,0,90
Mike Loughnane,Davidson,78,davidson,A10,mid,-0.4,77.6,0.9,0,90
Ocypher Owens,Le Moyne,78,le moyne,NEC,low,-2,76,0.7,0,90
Jaiden Feroah,Holy Cross,78,holy cross,Patriot,low,-2,76,0.7,0,90
Jesus Carralero Martin,Bethune Cookman,77.9,bethune cookman,SWAC,low,-2,75.9,0.7,0,90
Nick Johnson,Winthrop,77.9,winthrop,Big South,low,-2,75.9,0.7,0,90
DJ Davis,Washington,77.9,washington,Big Ten,tier1,0.8,78.7,1,0,90
Nick McMullen,Georgia St.,77.9,georgia st,Sun Belt,mid,-0.4,77.5,0.9,0,90
Yuri Covington,UMass Lowell,77.9,umass lowell,AEC,low,-2,75.9,0.7,0,90
Jalen Speer,Marshall,77.9,marshall,Sun Belt,mid,-0.4,77.5,0.9,0,90
Dawson Baker,BYU,77.9,byu,B12,tier1,0.8,78.7,1,0,90
Francis Nwaokorie,Loyola Chicago,77.9,loyola chicago,A10,mid,-0.4,77.5,0.9,0,90
Daylen Berry,Charleston Southern,77.9,charleston southern,Big South,low,-2,75.9,0.7,0,90
Ben Burnham,Virginia Tech,77.9,virginia tech,ACC,tier1,0.8,78.7,1,0,90
D.J. Smith,Robert Morris,77.9,robert morris,Horizon,low,-2,75.9,0.7,0,90
"Corey Floyd, Jr.",Providence,77.9,providence,Big East,tier1,0.8,78.7,1,0,90
Rafael Pinzon,Bryant,77.9,bryant,AEC,low,-2,75.9,0.7,0,90
Kolby King,Butler,77.9,butler,Big East,tier1,0.8,78.7,1,0,90
Valentino Pinedo,Saint Francis,77.9,saint francis,NEC,low,-2,75.9,0.7,0,90
Kareem Rozier,Duquesne,77.9,duquesne,A10,mid,-0.4,77.5,0.9,0,90
Jackson Fields,Troy,77.9,troy,Sun Belt,mid,-0.4,77.5,0.9,0,90
Jack Karasinski,Bellarmine,77.9,bellarmine,ASUN,low,-2,75.9,0.7,0,90
Nate Pickens,UC Riverside,77.9,uc riverside,Big West,low,-2,75.9,0.7,0,90
Amarr Knox,Alabama St.,77.9,alabama st,SWAC,low,-2,75.9,0.7,0,90
Chendall Weaver,Texas,77.9,texas,SEC,tier1,0.8,78.7,1,0,90
Evan Otten,Idaho St.,77.9,idaho st,Big Sky,low,-2,75.9,0.7,0,90
Michael Imariagbe,Wright St.,77.9,wright st,Horizon,low,-2,75.9,0.7,0,90
Braedan Lue,Kennesaw St.,77.9,kennesaw st,CUSA,mid,-0.4,77.5,0.9,0,90
Brayden Maldonado,Seattle,77.9,seattle,WAC,mid,-0.4,77.5,0.9,0,90
Jaden Wells,UT Arlington,77.9,ut arlington,WAC,mid,-0.4,77.5,0.9,0,90
Alex Chaikin,Lafayette,77.9,lafayette,Patriot,low,-2,75.9,0.7,0,90
Aidan Reichert,Mercyhurst,77.9,mercyhurst,NEC,low,-2,75.9,0.7,0,90
Jae'Lyn Withers,North Carolina,77.8,north carolina,ACC,tier1,0.8,78.6,1,0,90
Rondel Walker,North Texas,77.8,north texas,AAC,mid,-0.4,77.39999999999999,0.9,0,90
Byron Joshua,Albany,77.8,albany,AEC,low,-2,75.8,0.7,0,90
Dallas Howell,North Alabama,77.8,north alabama,ASUN,low,-2,75.8,0.7,0,90
Samuel Ariyibi,Utah Tech,77.8,utah tech,WAC,mid,-0.4,77.39999999999999,0.9,0,90
Madison Durr,Monmouth,77.8,monmouth,CAA,low,-2,75.8,0.7,0,90
David Coit,Kansas,77.8,kansas,B12,tier1,0.8,78.6,1,0,90
JaVaughn Hannah,Western Michigan,77.8,western michigan,MAC,low,-2,75.8,0.7,0,90
Jackson Munro,Dartmouth,77.8,dartmouth,Ivy League,low,-2,75.8,0.7,0,90
Eddie Ricks III,James Madison,77.8,james madison,Sun Belt,mid,-0.4,77.39999999999999,0.9,0,90
Parker Jones,Colgate,77.8,colgate,Patriot,low,-2,75.8,0.7,0,90
Jason Edwards,Vanderbilt,77.8,vanderbilt,SEC,tier1,0.8,78.6,1,0,90
Evan Ipsaro,Miami OH,77.8,miami oh,MAC,low,-2,75.8,0.7,0,90
Brayden Fagbemi,Central Arkansas,77.8,central arkansas,ASUN,low,-2,75.8,0.7,0,90
Patrick Ngongba,Duke,77.8,duke,ACC,tier1,0.8,78.6,1,0,90
Lathan Sommerville,Rutgers,77.8,rutgers,Big Ten,tier1,0.8,78.6,1,0,90
Tyler Schmidt,Valparaiso,77.8,valparaiso,MVC,mid,-0.4,77.39999999999999,0.9,0,90
Bradyn Hubbard,Abilene Christian,77.8,abilene christian,WAC,mid,-0.4,77.39999999999999,0.9,0,90
Donavan Yap Jr.,San Jose St.,77.7,san jose st,Mountain West,tier1,0.8,78.5,1,0,90
Zach Anderson,George Mason,77.7,george mason,A10,mid,-0.4,77.3,0.9,0,90
Anthony Leal,Indiana,77.7,indiana,Big Ten,tier1,0.8,78.5,1,0,90
Dakota Leffew,Georgia,77.7,georgia,SEC,tier1,0.8,78.5,1,0,90
Kyler VanderJagt,Central Michigan,77.7,central michigan,MAC,low,-2,75.7,0.7,0,90
Braxton Stacker,Southeast Missouri St.,77.7,southeast missouri st,OVC,low,-2,75.7,0.7,0,90
Zach Bell,Jacksonville,77.7,jacksonville,ASUN,low,-2,75.7,0.7,0,90
Mikale Stevenson,Grambling St.,77.7,grambling st,SWAC,low,-2,75.7,0.7,0,90
Miro Little,Utah,77.7,utah,B12,tier1,0.8,78.5,1,0,90
Isaiah Evans,Duke,77.7,duke,ACC,tier1,0.8,78.5,1,0,90
Alec Millender,IU Indy,77.7,iu indy,Horizon,low,-2,75.7,0.7,0,90
Aaron Nkrumah,Tennessee St.,77.7,tennessee st,OVC,low,-2,75.7,0.7,0,90
Keitenn Bristow,Tarleton St.,77.7,tarleton st,WAC,mid,-0.4,77.3,0.9,0,90
Max Agbonkpolo,Montana St.,77.6,montana st,Big Sky,low,-2,75.6,0.7,0,90
Ken Evans Jr.,Florida Atlantic,77.6,florida atlantic,AAC,mid,-0.4,77.19999999999999,0.9,0,90
Jahlil White,La Salle,77.6,la salle,A10,mid,-0.4,77.19999999999999,0.9,0,90
Kenny White Jr.,Morehead St.,77.6,morehead st,OVC,low,-2,75.6,0.7,0,90
Will Tschetter,Michigan,77.6,michigan,Big Ten,tier1,0.8,78.39999999999999,1,0,90
Jo'el Emanuel,Fairleigh Dickinson,77.6,fairleigh dickinson,NEC,low,-2,75.6,0.7,0,90
Cody Pennebaker,Lamar,77.6,lamar,Southland,low,-2,75.6,0.7,0,90
Joe Nugent,Holy Cross,77.6,holy cross,Patriot,low,-2,75.6,0.7,0,90
Cam Gillus,Lehigh,77.6,lehigh,Patriot,low,-2,75.6,0.7,0,90
Gavin Walsh,Binghamton,77.6,binghamton,AEC,low,-2,75.6,0.7,0,90
DaMariee Jones,Southern,77.6,southern,SWAC,low,-2,75.6,0.7,0,90
"Juan Cranford, Jr.",Saint Francis,77.6,saint francis,NEC,low,-2,75.6,0.7,0,90
Mostapha El Moutaouakkil,Louisiana,77.6,louisiana,Sun Belt,mid,-0.4,77.19999999999999,0.9,0,90
MJ Thomas,New Orleans,77.6,new orleans,Southland,low,-2,75.6,0.7,0,90
Kameron Taylor,UNC Asheville,77.6,unc asheville,Big South,low,-2,75.6,0.7,0,90
Brandon Stroud,South Florida,77.5,south florida,AAC,mid,-0.4,77.1,0.9,0,90
Devon Savage,Merrimack,77.5,merrimack,MAAC,low,-2,75.5,0.7,0,90
Brayon Freeman,Bethune Cookman,77.5,bethune cookman,SWAC,low,-2,75.5,0.7,0,90
Jahsean Corbett,Duquesne,77.5,duquesne,A10,mid,-0.4,77.1,0.9,0,90
Daniel Rouzan,Bethune Cookman,77.5,bethune cookman,SWAC,low,-2,75.5,0.7,0,90
Frank Mitchell,Minnesota,77.5,minnesota,Big Ten,tier1,0.8,78.3,1,0,90
Jed Miller,Montana St.,77.5,montana st,Big Sky,low,-2,75.5,0.7,0,90
AJ Dancler,Le Moyne,77.5,le moyne,NEC,low,-2,75.5,0.7,0,90
Ty-Laur Johnson,Wake Forest,77.5,wake forest,ACC,tier1,0.8,78.3,1,0,90
Lukas Walls,Samford,77.5,samford,SoCon,low,-2,75.5,0.7,0,90
Kyrone Alexander,Boston University,77.5,boston university,Patriot,low,-2,75.5,0.7,0,90
K.J. Doucet,Winthrop,77.5,winthrop,Big South,low,-2,75.5,0.7,0,90
Jaylin Stewart,Connecticut,77.5,connecticut,Big East,tier1,0.8,78.3,1,0,90
Asim Jones,FIU,77.5,fiu,CUSA,mid,-0.4,77.1,0.9,0,90
Mikey Lewis,Saint Mary's,77.5,saint mary s,WCC,mid,-0.4,77.1,0.9,0,90
JJ Wheat,South Alabama,77.5,south alabama,Sun Belt,mid,-0.4,77.1,0.9,0,90
Jerome Hunter,Xavier,77.4,xavier,Big East,tier1,0.8,78.2,1,0,90
Mawot Mag,BYU,77.4,byu,B12,tier1,0.8,78.2,1,0,90
Chris Walker,Binghamton,77.4,binghamton,AEC,low,-2,75.4,0.7,0,90
Lazar Stefanovic,UCLA,77.4,ucla,Big Ten,tier1,0.8,78.2,1,0,90
William Kyle III,UCLA,77.4,ucla,Big Ten,tier1,0.8,78.2,1,0,90
Dillon Hunter,Clemson,77.4,clemson,ACC,tier1,0.8,78.2,1,0,90
Jalen Hampton,Missouri St.,77.4,missouri st,MVC,mid,-0.4,77,0.9,0,90
Jamai Felt,Bowling Green,77.4,bowling green,MAC,low,-2,75.4,0.7,0,90
Armoni Zeigler,Saint Peter's,77.4,saint peter s,MAAC,low,-2,75.4,0.7,0,90
Makaih Williams,Grand Canyon,77.4,grand canyon,WAC,mid,-0.4,77,0.9,0,90
Cayden Vasko,Central Michigan,77.4,central michigan,MAC,low,-2,75.4,0.7,0,90
Diante Smith,UT Arlington,77.3,ut arlington,WAC,mid,-0.4,76.89999999999999,0.9,0,90
Grant Huffman,Vanderbilt,77.3,vanderbilt,SEC,tier1,0.8,78.1,1,0,90
Judah Brown,South Alabama,77.3,south alabama,Sun Belt,mid,-0.4,76.89999999999999,0.9,0,90
Shakeel Moore,Kansas,77.3,kansas,B12,tier1,0.8,78.1,1,0,90
Christian Turner,Texas St.,77.3,texas st,Sun Belt,mid,-0.4,76.89999999999999,0.9,0,90
Cade Haskins,Dartmouth,77.3,dartmouth,Ivy League,low,-2,75.3,0.7,0,90
Marquis Barnett,Kent St.,77.3,kent st,MAC,low,-2,75.3,0.7,0,90
Caleb Furst,Purdue,77.3,purdue,Big Ten,tier1,0.8,78.1,1,0,90
