Player,School,Rating,School_key,Conf,conf_tier,penalty_conf,Rating_add,conf_mult,gap,Rating_conf
Malik Thomas,San Francisco,90,san francisco,WCC,mid,-0.4,89.6,0.9,0,90
Hunter Sallis,Wake Forest,90,wake forest,ACC,tier1,0.8,90.8,1,0.7999999999999972,90.8
Aziz Bandaogo,Cincinnati,89.9,cincinnati,B12,tier1,0.8,90.7,1,0.7000000000000028,90.7
Sebastian Thomas,Rhode Island,89.9,rhode island,A10,mid,-0.4,89.5,0.9,0,90
Jalen Jackson,Purdue Fort Wayne,89.9,purdue fort wayne,Horizon,low,-2,87.9,0.7,0,90
Emanuel Sharp,Houston,89.9,houston,B12,tier1,0.8,90.7,1,0.7000000000000028,90.7
Tre'Von Spillers,Wake Forest,89.9,wake forest,ACC,tier1,0.8,90.7,1,0.7000000000000028,90.7
Tahaad Pettiford,Auburn,89.9,auburn,SEC,tier1,0.8,90.7,1,0.7000000000000028,90.7
JaKobe Coles,Grand Canyon,89.8,grand canyon,WAC,mid,-0.4,89.39999999999999,0.9,0,90
Great Osobor,Washington,89.8,washington,Big Ten,tier1,0.8,90.6,1,0.5999999999999943,90.6
Nolan Hickman,Gonzaga,89.8,gonzaga,WCC,mid,-0.4,89.39999999999999,0.9,0,90
Cole Hargrove,Drexel,89.8,drexel,CAA,low,-2,87.8,0.7,0,90
Tyler Bilodeau,UCLA,89.8,ucla,Big Ten,tier1,0.8,90.6,1,0.5999999999999943,90.6
Jack Clark,VCU,89.7,vcu,A10,mid,-0.4,89.3,0.9,0,90
Kadin Shedrick,Texas,89.7,texas,SEC,tier1,0.8,90.5,1,0.5,90.5
Nijel Pack,Miami FL,89.7,miami fl,ACC,tier1,0.8,90.5,1,0.5,90.5
Dayvion McKnight,Xavier,89.7,xavier,Big East,tier1,0.8,90.5,1,0.5,90.5
Nate Johnson,Akron,89.7,akron,MAC,low,-2,87.7,0.7,0,90
Zach Hicks,Penn St.,89.7,penn st,Big Ten,tier1,0.8,90.5,1,0.5,90.5
Ishmael Leggett,Pittsburgh,89.6,pittsburgh,ACC,tier1,0.8,90.39999999999999,1,0.3999999999999915,90.39999999999999
Jalen Leach,Northwestern,89.6,northwestern,Big Ten,tier1,0.8,90.39999999999999,1,0.3999999999999915,90.39999999999999
Tyrese Hunter,Memphis,89.6,memphis,AAC,mid,-0.4,89.19999999999999,0.9,0,90
Allen David Mukeba,Oakland,89.6,oakland,Horizon,low,-2,87.6,0.7,0,90
Reed Bailey,Davidson,89.6,davidson,A10,mid,-0.4,89.19999999999999,0.9,0,90
James Scott,Louisville,89.6,louisville,ACC,tier1,0.8,90.39999999999999,1,0.3999999999999915,90.39999999999999
Jackson Shelstad,Oregon,89.6,oregon,Big Ten,tier1,0.8,90.39999999999999,1,0.3999999999999915,90.39999999999999
Brandon Noel,Wright St.,89.5,wright st,Horizon,low,-2,87.5,0.7,0,90
Matthew Cleveland,Miami FL,89.5,miami fl,ACC,tier1,0.8,90.3,1,0.29999999999999716,90.3
Caden Pierce,Princeton,89.5,princeton,Ivy League,low,-2,87.5,0.7,0,90
Desmond Claude,USC,89.5,usc,Big Ten,tier1,0.8,90.3,1,0.29999999999999716,90.3
Nate Kingz,Oregon St.,89.5,oregon st,WCC,mid,-0.4,89.1,0.9,0,90
Jahmyl Telfort,Butler,89.4,butler,Big East,tier1,0.8,90.2,1,0.20000000000000284,90.2
Chance McMillian,Texas Tech,89.4,texas tech,B12,tier1,0.8,90.2,1,0.20000000000000284,90.2
